Batch,Num trials,Number correct
0,512,476
1,512,479
2,512,472
3,512,474
4,512,478
5,512,486
6,512,468
7,512,477
8,512,474
9,512,479
10,512,470
11,512,475
12,512,485
13,512,470
14,512,466
15,512,475
16,512,469
17,512,478
18,512,474
19,272,248
