Epoch,Batch,Num trials,Number correct,Input Recurrent rewired,Input Recurrent Inh rewired,Recurrent Recurrent rewired
0,0,512,20,75,13,4
0,1,512,18,107,20,8
0,2,512,24,105,24,6
0,3,512,37,87,26,6
0,4,512,30,96,41,7
0,5,512,41,101,32,8
0,6,512,45,86,31,5
0,7,512,40,82,35,5
0,8,512,45,76,47,5
0,9,512,35,74,41,10
0,10,512,55,70,33,7
0,11,512,47,77,35,4
0,12,512,60,74,34,4
0,13,512,65,59,42,4
0,14,512,56,72,44,4
0,15,476,51,62,41,8
1,0,512,56,65,35,8
1,1,512,61,53,26,9
1,2,512,67,62,40,13
1,3,512,90,56,34,11
1,4,512,72,58,38,8
1,5,512,70,64,38,7
1,6,512,66,58,36,11
1,7,512,71,60,32,9
1,8,512,78,64,37,6
1,9,512,80,55,31,5
1,10,512,101,63,31,6
1,11,512,84,64,31,11
1,12,512,86,60,35,14
1,13,512,80,56,33,15
1,14,512,87,57,37,9
1,15,476,68,65,32,7
2,0,512,80,62,30,13
2,1,512,89,65,30,11
2,2,512,117,63,28,11
2,3,512,99,60,25,12
2,4,512,115,70,31,8
2,5,512,111,73,29,9
2,6,512,110,57,27,8
2,7,512,107,60,32,11
2,8,512,109,64,33,7
2,9,512,110,60,34,6
2,10,512,115,54,29,9
2,11,512,110,52,33,5
2,12,512,100,61,32,7
2,13,512,126,52,28,11
2,14,512,105,67,30,9
2,15,476,95,73,26,7
3,0,512,110,70,25,9
3,1,512,128,65,23,9
3,2,512,99,55,16,12
3,3,512,129,54,18,14
3,4,512,121,52,19,9
3,5,512,126,47,22,6
3,6,512,110,48,18,9
3,7,512,124,53,21,6
3,8,512,137,43,23,7
3,9,512,118,46,21,15
3,10,512,134,57,18,9
3,11,512,117,54,17,8
3,12,512,126,56,25,7
3,13,512,133,59,22,8
3,14,512,135,60,18,7
3,15,476,129,61,15,6
4,0,512,131,55,20,5
4,1,512,156,52,15,3
4,2,512,133,60,15,2
4,3,512,128,63,15,6
4,4,512,144,67,14,6
4,5,512,131,66,13,10
4,6,512,145,50,8,6
4,7,512,140,45,19,8
4,8,512,154,71,20,4
4,9,512,131,68,20,3
4,10,512,145,49,21,3
4,11,512,129,44,21,3
4,12,512,139,60,24,4
4,13,512,136,59,23,5
4,14,512,139,51,19,8
4,15,476,134,49,23,6
5,0,512,180,46,14,5
5,1,512,177,56,21,2
5,2,512,142,53,14,5
5,3,512,173,51,7,6
5,4,512,159,56,11,7
5,5,512,149,52,14,7
5,6,512,145,42,14,3
5,7,512,136,42,16,5
5,8,512,151,58,12,6
5,9,512,174,55,7,6
5,10,512,142,47,8,5
5,11,512,149,42,11,6
5,12,512,157,47,9,5
5,13,512,168,46,14,4
5,14,512,163,39,17,3
5,15,476,159,51,13,6
6,0,512,162,56,12,4
6,1,512,156,59,9,3
6,2,512,174,64,7,4
6,3,512,160,50,10,7
6,4,512,176,37,8,7
6,5,512,162,55,14,6
6,6,512,169,54,10,8
6,7,512,168,54,10,7
6,8,512,168,52,14,4
6,9,512,168,47,17,2
6,10,512,155,49,13,3
6,11,512,170,49,15,2
6,12,512,170,49,11,5
6,13,512,157,49,11,2
6,14,512,201,49,5,4
6,15,476,177,60,7,8
7,0,512,186,64,9,6
7,1,512,185,45,7,4
7,2,512,181,52,9,6
7,3,512,163,56,12,3
7,4,512,176,63,13,4
7,5,512,167,65,11,9
7,6,512,166,58,7,7
7,7,512,172,51,10,8
7,8,512,166,58,13,6
7,9,512,168,51,12,8
7,10,512,180,45,8,7
7,11,512,166,60,11,5
7,12,512,200,41,10,2
7,13,512,183,51,10,4
7,14,512,192,70,8,5
7,15,476,159,63,9,4
8,0,512,223,51,13,1
8,1,512,205,55,9,7
8,2,512,200,47,8,4
8,3,512,188,59,9,2
8,4,512,173,55,8,3
8,5,512,201,65,7,8
8,6,512,175,73,8,9
8,7,512,180,67,10,10
8,8,512,178,68,6,5
8,9,512,206,63,10,8
8,10,512,198,57,12,12
8,11,512,182,61,6,6
8,12,512,198,46,6,6
8,13,512,188,52,7,5
8,14,512,202,63,8,5
8,15,476,172,63,8,3
9,0,512,213,60,7,6
9,1,512,213,52,7,3
9,2,512,196,49,5,4
9,3,512,204,53,7,4
9,4,512,199,45,9,6
9,5,512,204,51,14,5
9,6,512,226,59,15,5
9,7,512,195,60,12,5
9,8,512,191,52,9,6
9,9,512,166,53,9,5
9,10,512,185,49,5,3
9,11,512,208,46,7,2
9,12,512,229,47,8,1
9,13,512,215,51,11,3
9,14,512,224,54,4,3
9,15,476,200,45,4,5
10,0,512,242,58,12,6
10,1,512,216,58,10,4
10,2,512,224,57,11,5
10,3,512,207,48,10,5
10,4,512,213,59,13,5
10,5,512,201,54,12,6
10,6,512,209,38,11,13
10,7,512,205,42,6,9
10,8,512,186,56,11,12
10,9,512,228,51,18,13
10,10,512,231,56,17,8
10,11,512,208,49,9,7
10,12,512,213,60,6,6
10,13,512,249,46,8,4
10,14,512,227,47,9,4
10,15,476,219,55,5,4
11,0,512,221,50,10,4
11,1,512,241,58,6,4
11,2,512,237,39,8,4
11,3,512,232,33,12,3
11,4,512,248,46,10,5
11,5,512,207,47,7,4
11,6,512,225,53,7,5
11,7,512,229,48,15,2
11,8,512,230,54,14,2
11,9,512,235,48,10,2
11,10,512,234,53,9,3
11,11,512,224,53,5,3
11,12,512,233,48,4,4
11,13,512,242,50,9,5
11,14,512,215,39,9,6
