Epoch,Batch,Num trials,Number correct,Input Recurrent rewired,Input Recurrent Inh rewired,Recurrent Recurrent rewired
0,0,512,22,85,18,28
0,1,512,30,98,19,28
0,2,512,23,99,20,30
0,3,512,43,92,20,36
0,4,512,46,86,26,27
0,5,512,46,92,39,25
0,6,512,49,84,47,28
0,7,512,37,80,43,24
0,8,512,58,70,36,25
0,9,512,54,83,28,26
0,10,512,58,79,28,18
0,11,512,58,65,33,27
0,12,512,69,49,34,28
0,13,512,71,52,41,28
0,14,512,85,56,41,21
0,15,476,73,56,35,26
1,0,512,90,56,42,33
1,1,512,98,60,35,32
1,2,512,87,67,36,36
1,3,512,91,73,31,33
1,4,512,91,62,28,26
1,5,512,79,73,39,22
1,6,512,96,65,38,26
1,7,512,92,56,35,21
1,8,512,91,59,40,29
1,9,512,96,59,40,34
1,10,512,112,71,41,41
1,11,512,98,52,45,32
1,12,512,107,48,40,26
1,13,512,108,50,30,31
1,14,512,86,57,31,31
1,15,476,81,57,26,42
2,0,512,97,63,29,37
2,1,512,101,64,24,33
2,2,512,107,66,22,39
2,3,512,95,55,27,39
2,4,512,112,57,28,41
2,5,512,106,62,34,22
2,6,512,92,69,31,24
2,7,512,104,61,29,38
2,8,512,107,64,25,46
2,9,512,121,67,29,35
2,10,512,113,59,29,33
2,11,512,132,61,29,30
2,12,512,107,63,28,41
2,13,512,118,65,22,36
2,14,512,117,54,17,25
2,15,476,103,68,18,31
3,0,512,110,53,19,33
3,1,512,130,54,20,32
3,2,512,125,53,26,34
3,3,512,118,62,20,36
3,4,512,128,57,16,33
3,5,512,128,61,17,39
3,6,512,122,58,15,35
3,7,512,129,54,30,34
3,8,512,133,54,24,32
3,9,512,142,47,25,36
3,10,512,137,62,20,36
3,11,512,148,56,19,37
3,12,512,142,58,25,39
3,13,512,137,49,20,30
3,14,512,153,52,19,41
3,15,476,139,51,20,44
4,0,512,164,52,20,48
4,1,512,139,54,21,33
4,2,512,138,55,20,32
4,3,512,140,62,19,36
4,4,512,153,51,18,38
4,5,512,154,51,13,43
4,6,512,151,61,19,49
4,7,512,161,53,17,37
4,8,512,149,54,15,39
4,9,512,167,57,18,29
4,10,512,158,59,14,27
4,11,512,157,58,14,30
4,12,512,154,58,10,32
4,13,512,151,62,16,32
4,14,512,149,66,17,27
4,15,476,157,62,14,34
5,0,512,160,48,15,35
5,1,512,175,41,21,33
5,2,512,174,41,21,31
5,3,512,181,38,15,27
5,4,512,171,51,17,37
5,5,512,174,55,17,38
5,6,512,180,53,18,38
5,7,512,173,47,13,35
5,8,512,173,50,12,30
5,9,512,160,51,17,21
5,10,512,178,57,21,23
5,11,512,175,54,15,27
5,12,512,144,72,10,32
