Batch,Num trials,Number correct
0,512,451
1,512,473
2,512,474
3,512,475
4,512,470
5,512,470
6,512,461
7,512,466
8,512,466
9,512,472
10,512,468
11,512,470
12,512,471
13,512,487
14,512,462
15,512,462
16,512,462
17,512,462
18,512,469
19,272,246
