Batch,Num trials,Number correct
0,512,431
1,512,473
2,512,470
3,512,467
4,512,459
5,512,462
6,512,453
7,512,457
8,512,464
9,512,465
10,512,467
11,512,465
12,512,471
13,512,480
14,512,466
15,512,466
16,512,465
17,512,462
18,512,460
19,272,241
