Epoch,Batch,Num trials,Number correct,Input Recurrent rewired,Input Recurrent Inh rewired,Recurrent Recurrent rewired
0,0,512,25,161,32,65
0,1,512,30,210,33,65
0,2,512,15,231,40,57
0,3,512,37,238,33,56
0,4,512,24,213,36,60
0,5,512,31,194,34,54
0,6,512,45,167,46,51
0,7,512,16,162,52,49
0,8,512,28,145,42,48
0,9,512,26,145,45,35
0,10,512,34,147,44,33
0,11,512,36,160,45,36
0,12,512,33,142,52,31
0,13,512,30,153,47,30
0,14,512,44,143,46,31
0,15,476,48,169,54,26
1,0,512,58,161,45,32
1,1,512,67,143,50,28
1,2,512,57,131,48,26
1,3,512,68,140,48,24
1,4,512,66,116,50,32
1,5,512,59,128,56,29
1,6,512,47,123,54,27
1,7,512,50,107,71,23
1,8,512,72,103,76,25
1,9,512,69,121,74,23
1,10,512,77,129,63,28
1,11,512,87,134,72,21
1,12,512,60,126,68,25
1,13,512,65,136,66,28
1,14,512,84,141,59,26
1,15,476,77,127,59,22
2,0,512,84,112,54,25
2,1,512,100,106,54,35
2,2,512,93,121,52,33
2,3,512,97,115,58,31
2,4,512,100,102,53,31
2,5,512,98,113,56,26
2,6,512,88,122,67,25
2,7,512,77,97,68,28
2,8,512,81,96,68,23
2,9,512,83,102,67,21
2,10,512,87,104,74,24
2,11,512,76,112,60,24
2,12,512,87,121,55,22
2,13,512,111,111,46,24
2,14,512,96,106,50,25
2,15,476,93,102,48,17
3,0,512,93,113,41,23
3,1,512,95,119,40,29
3,2,512,107,107,57,34
3,3,512,90,108,50,23
3,4,512,104,127,53,25
3,5,512,129,124,55,29
3,6,512,113,110,51,34
3,7,512,92,108,40,27
3,8,512,104,111,44,28
3,9,512,134,136,41,25
3,10,512,152,113,55,18
3,11,512,128,113,69,25
3,12,512,127,108,67,34
3,13,512,108,115,58,23
3,14,512,114,104,68,30
3,15,476,113,93,55,30
4,0,512,149,104,58,34
4,1,512,150,105,48,33
4,2,512,146,116,55,43
4,3,512,135,100,48,34
4,4,512,145,111,51,34
4,5,512,138,115,51,35
4,6,512,143,125,53,46
4,7,512,155,106,49,35
4,8,512,145,123,39,30
4,9,512,145,113,47,34
4,10,512,135,110,57,37
4,11,512,140,126,56,31
4,12,512,157,119,57,32
4,13,512,170,114,52,36
4,14,512,169,124,48,32
4,15,476,140,116,53,31
5,0,512,133,111,54,22
5,1,512,136,108,48,30
5,2,512,136,110,40,37
5,3,512,164,110,50,33
5,4,512,164,105,39,40
5,5,512,166,112,47,36
5,6,512,175,110,39,26
5,7,512,173,100,44,32
5,8,512,176,102,51,29
5,9,512,170,106,42,25
5,10,512,149,96,36,36
5,11,512,168,99,38,28
5,12,512,160,102,45,24
5,13,512,172,96,43,30
5,14,512,169,102,48,43
5,15,476,153,113,47,39
6,0,512,189,112,44,36
6,1,512,146,102,50,31
6,2,512,178,90,47,25
6,3,512,174,97,43,20
6,4,512,209,92,33,31
6,5,512,201,95,38,40
6,6,512,182,83,35,42
6,7,512,197,82,37,25
6,8,512,171,77,35,22
