Epoch,Batch,Num trials,Number correct,Input Recurrent rewired,Input Recurrent Inh rewired,Recurrent Recurrent rewired
0,0,512,37,36,55,33
0,1,512,37,45,71,61
0,2,512,39,53,84,84
0,3,512,38,43,106,96
0,4,512,31,64,116,125
0,5,512,35,59,125,129
0,6,512,59,59,137,140
0,7,512,42,70,140,155
0,8,512,56,62,144,165
0,9,512,46,36,142,161
0,10,512,31,42,136,172
0,11,512,25,54,140,168
0,12,512,28,45,145,180
0,13,512,23,50,135,178
0,14,512,30,53,136,197
0,15,476,27,53,139,195
1,0,512,33,45,155,162
1,1,512,34,48,170,166
1,2,512,40,39,174,177
1,3,512,36,49,162,182
1,4,512,56,41,172,185
1,5,512,71,40,172,168
1,6,512,41,41,168,191
1,7,512,55,37,176,185
1,8,512,54,37,164,182
1,9,512,62,33,172,179
1,10,512,64,30,177,181
1,11,512,78,37,173,188
1,12,512,65,37,176,174
1,13,512,85,32,181,176
1,14,512,95,34,186,169
1,15,476,76,29,185,187
2,0,512,89,33,160,175
2,1,512,85,19,158,170
2,2,512,82,18,153,177
2,3,512,106,18,171,187
2,4,512,98,30,170,183
2,5,512,102,29,167,164
2,6,512,116,24,176,174
2,7,512,97,25,169,159
2,8,512,106,36,162,158
2,9,512,119,37,170,159
2,10,512,124,22,160,174
2,11,512,120,26,187,146
2,12,512,131,34,185,154
2,13,512,129,44,168,155
2,14,512,105,45,159,159
2,15,476,122,41,173,146
3,0,512,129,32,163,166
3,1,512,130,33,158,170
3,2,512,138,28,149,165
3,3,512,141,27,140,145
3,4,512,129,23,148,150
3,5,512,126,24,160,144
3,6,512,111,33,154,143
3,7,512,138,29,151,135
3,8,512,136,32,162,134
3,9,512,103,34,167,123
3,10,512,126,32,158,116
3,11,512,127,38,145,109
3,12,512,145,40,142,116
3,13,512,152,34,154,121
3,14,512,149,30,136,113
3,15,476,149,31,131,119
4,0,512,156,27,118,119
4,1,512,154,26,121,121
4,2,512,156,33,120,128
4,3,512,151,24,117,122
4,4,512,162,22,115,122
4,5,512,166,21,120,125
4,6,512,168,30,114,130
4,7,512,169,28,104,109
4,8,512,162,22,103,109
4,9,512,163,21,105,124
4,10,512,151,25,118,120
4,11,512,159,23,120,115
4,12,512,160,19,115,104
4,13,512,172,29,125,101
4,14,512,146,23,145,100
4,15,476,151,17,127,91
5,0,512,152,15,120,96
5,1,512,192,25,118,111
5,2,512,186,25,116,108
5,3,512,170,24,98,97
5,4,512,173,25,100,93
5,5,512,173,21,109,98
5,6,512,173,19,106,96
5,7,512,198,26,93,89
5,8,512,200,28,85,104
5,9,512,201,26,83,94
5,10,512,196,34,91,101
5,11,512,193,29,87,104
5,12,512,195,23,89,94
5,13,512,212,24,79,83
5,14,512,194,19,75,77
5,15,476,170,26,76,72
6,0,512,189,28,78,77
6,1,512,192,22,70,82
6,2,512,192,30,78,80
6,3,512,181,28,84,75
6,4,512,190,29,84,81
6,5,512,202,30,71,82
6,6,512,209,25,65,76
6,7,512,211,20,68,74
6,8,512,202,30,63,81
6,9,512,208,31,64,77
6,10,512,204,22,67,64
6,11,512,202,16,65,56
6,12,512,205,22,67,67
6,13,512,196,31,65,67
6,14,512,216,21,61,74
6,15,476,192,18,64,70
7,0,512,213,24,60,73
7,1,512,211,30,66,71
7,2,512,207,29,64,56
7,3,512,206,26,74,66
7,4,512,214,20,76,61
7,5,512,219,21,73,53
7,6,512,180,22,69,58
7,7,512,224,23,66,58
7,8,512,211,19,75,55
7,9,512,228,19,79,55
7,10,512,241,22,62,58
7,11,512,216,22,79,59
7,12,512,225,26,73,55
7,13,512,239,28,75,61
7,14,512,243,26,62,57
7,15,476,242,24,63,70
8,0,512,224,24,54,68
8,1,512,235,22,56,57
8,2,512,220,16,58,57
8,3,512,233,26,63,57
8,4,512,196,20,63,53
8,5,512,240,21,57,59
8,6,512,247,20,57,52
8,7,512,233,19,55,59
8,8,512,232,16,46,58
8,9,512,221,18,48,49
8,10,512,242,20,50,48
8,11,512,251,17,47,51
8,12,512,227,16,51,43
8,13,512,220,21,52,48
8,14,512,234,22,46,49
8,15,476,213,18,39,52
9,0,512,243,13,44,58
9,1,512,265,22,45,60
9,2,512,245,15,33,65
9,3,512,257,13,36,54
9,4,512,245,19,43,51
9,5,512,253,14,56,50
9,6,512,252,13,62,52
9,7,512,262,22,51,53
9,8,512,272,14,51,56
9,9,512,247,14,52,51
9,10,512,233,12,49,52
9,11,512,231,15,48,48
9,12,512,261,14,37,42
9,13,512,238,15,36,43
9,14,512,219,12,48,38
9,15,476,233,12,42,42
10,0,512,251,12,45,46
10,1,512,282,19,45,55
10,2,512,256,14,42,53
10,3,512,248,12,39,39
10,4,512,257,14,38,43
10,5,512,271,13,38,51
10,6,512,255,14,48,51
10,7,512,228,11,49,43
10,8,512,249,14,33,33
10,9,512,253,13,30,37
10,10,512,259,8,36,41
10,11,512,264,8,33,35
10,12,512,250,14,35,36
10,13,512,253,11,42,41
10,14,512,266,10,38,45
10,15,476,242,10,30,35
11,0,512,267,14,32,45
11,1,512,267,19,42,42
11,2,512,277,15,36,39
11,3,512,257,19,31,44
11,4,512,263,17,37,50
11,5,512,232,20,34,54
11,6,512,249,25,36,46
11,7,512,290,20,35,38
11,8,512,260,15,38,35
11,9,512,279,15,33,51
11,10,512,247,14,40,42
11,11,512,273,8,40,31
11,12,512,291,13,39,33
11,13,512,297,15,42,32
11,14,512,290,9,40,34
11,15,476,261,11,43,29
12,0,512,256,12,34,31
12,1,512,280,15,37,34
12,2,512,293,14,35,30
12,3,512,259,9,28,30
12,4,512,264,5,36,31
12,5,512,266,5,44,37
12,6,512,277,8,36,42
12,7,512,271,15,28,39
12,8,512,269,14,31,36
12,9,512,286,9,37,33
12,10,512,282,12,47,32
12,11,512,272,14,40,32
12,12,512,264,11,35,23
12,13,512,282,13,39,21
12,14,512,265,12,35,24
12,15,476,274,11,32,35
13,0,512,284,12,25,37
13,1,512,303,10,29,31
13,2,512,292,17,30,27
13,3,512,276,16,33,26
13,4,512,295,17,30,39
13,5,512,288,17,32,42
13,6,512,283,14,28,35
13,7,512,280,16,25,34
13,8,512,310,12,30,27
13,9,512,308,11,31,27
13,10,512,296,6,27,26
13,11,512,296,6,35,33
13,12,512,270,10,39,33
13,13,512,282,14,31,32
13,14,512,298,14,39,32
13,15,476,284,11,41,31
14,0,512,302,16,30,36
14,1,512,286,21,34,35
14,2,512,292,14,38,30
14,3,512,304,19,34,27
14,4,512,308,13,36,27
14,5,512,305,11,39,32
14,6,512,285,14,28,23
14,7,512,310,15,35,30
14,8,512,278,13,33,33
14,9,512,314,14,38,29
14,10,512,294,12,37,31
14,11,512,317,6,34,32
14,12,512,291,12,39,31
14,13,512,295,15,41,39
14,14,512,310,10,44,40
14,15,476,282,12,34,35
15,0,512,300,10,44,28
15,1,512,324,12,32,27
15,2,512,323,16,35,34
15,3,512,297,11,23,31
15,4,512,300,11,24,29
15,5,512,305,19,20,32
15,6,512,304,20,24,29
15,7,512,300,22,35,30
15,8,512,308,16,37,28
15,9,512,306,11,36,19
15,10,512,330,12,27,24
15,11,512,292,12,30,27
15,12,512,294,12,33,21
15,13,512,296,6,28,23
15,14,512,288,4,20,22
15,15,476,273,6,21,23
16,0,512,313,9,32,26
16,1,512,309,16,29,32
16,2,512,329,12,23,26
16,3,512,333,18,21,24
16,4,512,326,20,19,26
16,5,512,325,15,21,26
16,6,512,313,10,20,27
16,7,512,328,17,22,28
16,8,512,335,17,20,26
16,9,512,333,16,20,29
16,10,512,344,11,20,29
16,11,512,328,14,15,34
16,12,512,335,11,19,29
16,13,512,316,12,29,29
16,14,512,320,10,26,23
16,15,476,296,8,27,24
17,0,512,314,7,25,23
17,1,512,331,6,26,23
17,2,512,327,4,24,22
17,3,512,328,8,24,22
17,4,512,327,9,27,19
17,5,512,358,8,24,15
17,6,512,342,7,27,13
17,7,512,327,12,31,24
17,8,512,329,12,32,25
17,9,512,325,7,15,23
17,10,512,339,12,28,17
17,11,512,332,16,24,15
17,12,512,318,17,28,21
17,13,512,321,18,31,16
17,14,512,322,17,26,19
17,15,476,287,18,28,24
18,0,512,324,11,19,27
18,1,512,322,11,26,20
18,2,512,331,7,29,20
18,3,512,349,11,21,17
18,4,512,343,13,24,21
18,5,512,349,8,28,23
18,6,512,354,12,24,23
18,7,512,349,13,17,27
18,8,512,350,11,14,24
18,9,512,351,9,21,19
18,10,512,334,8,23,24
18,11,512,361,12,19,21
18,12,512,352,11,24,22
18,13,512,359,11,28,22
18,14,512,324,8,22,22
18,15,476,300,11,26,22
19,0,512,350,12,22,20
19,1,512,350,8,24,19
19,2,512,337,12,26,20
19,3,512,336,12,25,19
19,4,512,331,10,25,15
19,5,512,325,11,30,22
19,6,512,322,7,26,22
19,7,512,312,10,20,21
19,8,512,335,5,21,20
19,9,512,338,9,22,22
19,10,512,337,10,26,19
19,11,512,358,9,21,23
19,12,512,343,10,16,26
19,13,512,319,12,17,18
19,14,512,328,13,21,17
19,15,476,289,11,14,20
20,0,512,319,13,15,24
20,1,512,322,14,11,26
20,2,512,338,14,17,26
20,3,512,335,12,16,21
20,4,512,334,9,19,13
20,5,512,332,9,26,25
20,6,512,349,6,24,19
20,7,512,320,9,27,18
20,8,512,342,13,31,17
20,9,512,349,11,22,17
20,10,512,344,11,21,17
20,11,512,334,14,19,18
20,12,512,344,10,25,18
20,13,512,345,5,31,19
20,14,512,359,5,28,22
20,15,476,342,8,19,26
21,0,512,350,9,18,23
21,1,512,323,13,20,24
21,2,512,347,12,18,22
21,3,512,371,14,20,18
21,4,512,348,18,23,20
21,5,512,343,14,17,22
21,6,512,351,7,18,20
21,7,512,350,7,22,11
21,8,512,354,8,21,12
21,9,512,342,12,19,10
21,10,512,362,12,26,9
21,11,512,357,16,19,12
21,12,512,361,17,17,7
21,13,512,358,12,13,6
21,14,512,334,10,16,12
21,15,476,337,11,14,14
22,0,512,353,10,16,13
22,1,512,337,9,17,20
