Epoch,Batch,Num trials,Number correct,Input Recurrent rewired,Input Recurrent Inh rewired,Recurrent Recurrent rewired
0,0,512,25,53,65,7
0,1,512,23,67,65,13
0,2,512,23,88,80,20
0,3,512,26,82,80,24
0,4,512,29,71,71,30
0,5,512,36,76,72,33
0,6,512,40,72,107,35
0,7,512,39,73,117,45
0,8,512,41,68,122,46
0,9,512,49,66,113,51
0,10,512,56,53,119,51
0,11,512,64,44,137,54
0,12,512,61,48,142,56
0,13,512,46,39,142,58
0,14,512,63,41,145,64
0,15,476,48,40,167,56
1,0,512,57,48,170,53
1,1,512,52,39,179,55
1,2,512,62,58,200,58
1,3,512,57,45,178,57
1,4,512,54,38,176,52
1,5,512,52,36,200,57
1,6,512,65,32,186,50
1,7,512,58,23,209,49
1,8,512,61,28,186,48
1,9,512,55,38,195,40
1,10,512,66,31,216,38
1,11,512,48,33,221,35
1,12,512,71,33,217,34
1,13,512,51,33,220,42
1,14,512,59,34,210,46
1,15,476,78,31,193,42
2,0,512,81,29,201,41
2,1,512,102,30,216,40
2,2,512,69,23,207,40
2,3,512,84,28,198,43
2,4,512,84,26,192,40
2,5,512,84,25,198,34
2,6,512,75,32,194,30
2,7,512,79,23,211,34
2,8,512,96,24,207,36
2,9,512,107,29,196,34
2,10,512,88,24,213,35
2,11,512,93,28,223,35
2,12,512,100,19,211,31
2,13,512,104,24,216,37
2,14,512,81,28,190,39
2,15,476,76,17,184,40
3,0,512,91,21,187,38
3,1,512,94,26,208,43
3,2,512,92,27,207,36
3,3,512,94,33,208,44
3,4,512,107,24,217,44
3,5,512,103,30,202,41
3,6,512,119,24,201,37
3,7,512,114,20,192,35
3,8,512,106,21,190,34
3,9,512,107,29,183,34
3,10,512,115,31,163,35
3,11,512,127,27,169,35
3,12,512,108,26,163,34
3,13,512,109,26,166,41
3,14,512,99,26,177,36
3,15,476,99,21,172,29
4,0,512,133,25,164,29
4,1,512,112,19,171,32
4,2,512,124,16,164,23
4,3,512,111,17,176,23
4,4,512,95,24,167,26
4,5,512,88,18,160,26
4,6,512,121,21,142,17
4,7,512,114,23,155,18
4,8,512,105,27,167,19
4,9,512,130,33,166,21
4,10,512,127,27,149,26
4,11,512,118,23,149,27
4,12,512,140,27,149,22
4,13,512,158,25,152,26
4,14,512,160,31,149,30
4,15,476,145,30,126,27
5,0,512,168,27,129,22
5,1,512,168,22,137,16
5,2,512,170,22,137,13
5,3,512,173,26,135,11
5,4,512,165,20,144,9
5,5,512,179,28,129,13
5,6,512,159,30,125,9
5,7,512,151,25,115,8
5,8,512,161,20,105,10
5,9,512,170,17,111,14
5,10,512,173,22,101,13
5,11,512,147,20,104,10
5,12,512,162,19,116,7
5,13,512,171,21,102,7
5,14,512,191,12,111,12
5,15,476,166,15,115,8
6,0,512,183,16,91,12
6,1,512,173,15,89,14
6,2,512,190,22,95,18
6,3,512,195,12,108,14
6,4,512,194,16,102,14
6,5,512,182,17,88,15
6,6,512,173,14,79,17
6,7,512,189,23,75,15
6,8,512,181,24,68,16
6,9,512,197,27,66,13
6,10,512,191,29,81,14
6,11,512,221,28,87,14
6,12,512,194,26,75,13
6,13,512,191,29,63,12
6,14,512,195,21,74,11
6,15,476,183,26,78,9
7,0,512,212,23,82,9
7,1,512,213,30,88,11
7,2,512,203,23,85,8
7,3,512,215,17,77,8
7,4,512,196,24,84,4
7,5,512,196,27,65,6
7,6,512,210,27,75,7
7,7,512,212,20,62,7
7,8,512,197,31,69,5
7,9,512,196,22,57,7
7,10,512,222,20,59,7
7,11,512,219,17,71,7
7,12,512,203,24,74,7
7,13,512,210,20,67,8
7,14,512,207,13,63,9
7,15,476,205,16,66,7
8,0,512,227,14,63,8
8,1,512,208,17,65,7
8,2,512,228,17,65,8
8,3,512,230,21,73,7
8,4,512,218,19,64,10
8,5,512,229,18,67,9
8,6,512,240,16,71,8
8,7,512,246,12,53,9
8,8,512,214,11,55,12
8,9,512,209,14,50,11
8,10,512,214,19,48,12
8,11,512,203,16,42,6
8,12,512,208,23,37,5
8,13,512,221,16,40,1
8,14,512,229,15,41,1
8,15,476,215,20,44,2
9,0,512,247,20,55,3
9,1,512,212,18,50,4
9,2,512,238,18,44,4
9,3,512,233,15,42,7
9,4,512,227,14,49,7
9,5,512,236,15,51,7
9,6,512,236,15,58,6
9,7,512,221,14,60,5
9,8,512,231,9,61,6
9,9,512,240,16,61,4
9,10,512,220,23,53,4
9,11,512,221,18,72,5
9,12,512,243,17,70,5
9,13,512,245,19,60,4
9,14,512,261,17,60,5
9,15,476,220,14,49,5
10,0,512,238,15,42,5
10,1,512,252,18,34,7
10,2,512,254,24,38,9
10,3,512,242,15,41,6
10,4,512,244,11,46,5
10,5,512,241,16,41,4
10,6,512,251,19,39,6
10,7,512,237,17,43,10
10,8,512,248,17,37,7
10,9,512,247,16,37,7
10,10,512,243,14,37,10
10,11,512,263,12,41,8
10,12,512,253,20,43,7
10,13,512,253,15,38,7
10,14,512,282,13,33,9
10,15,476,234,17,36,10
11,0,512,252,16,28,8
11,1,512,252,9,27,7
11,2,512,257,11,27,5
11,3,512,268,12,34,7
11,4,512,279,9,27,6
11,5,512,259,11,35,5
11,6,512,264,13,44,5
11,7,512,264,13,48,7
11,8,512,233,12,37,3
11,9,512,256,9,31,4
11,10,512,255,15,29,4
11,11,512,242,19,28,5
11,12,512,246,11,23,7
11,13,512,261,16,25,6
11,14,512,258,19,30,6
11,15,476,248,17,27,2
12,0,512,258,16,27,4
12,1,512,246,18,28,4
12,2,512,253,14,28,6
12,3,512,263,14,37,7
12,4,512,268,11,40,6
12,5,512,254,14,34,9
12,6,512,276,12,35,4
12,7,512,301,14,40,3
12,8,512,253,11,35,3
12,9,512,270,16,42,8
12,10,512,285,17,33,7
12,11,512,258,15,35,4
12,12,512,264,16,36,6
12,13,512,282,17,44,3
12,14,512,271,27,46,3
12,15,476,276,20,38,8
13,0,512,240,20,48,6
13,1,512,269,17,47,3
13,2,512,269,18,34,4
13,3,512,262,18,32,4
13,4,512,283,14,31,2
13,5,512,258,15,31,4
13,6,512,278,11,30,7
13,7,512,265,17,27,4
13,8,512,282,19,26,6
13,9,512,277,21,27,5
13,10,512,281,21,29,4
