Epoch,Batch,Num trials,Number correct,Input Recurrent rewired,Input Recurrent Inh rewired,Recurrent Recurrent rewired
0,0,512,15,170,37,44
0,1,512,40,234,35,54
0,2,512,25,231,44,69
0,3,512,20,209,35,55
0,4,512,27,172,39,42
0,5,512,26,136,40,40
0,6,512,13,129,44,44
0,7,512,24,147,52,44
0,8,512,25,147,49,35
0,9,512,31,148,48,31
0,10,512,38,151,48,30
0,11,512,26,151,41,28
0,12,512,37,151,37,37
0,13,512,37,154,45,31
0,14,512,70,142,52,27
0,15,476,50,118,41,25
1,0,512,41,119,42,25
1,1,512,52,114,43,20
1,2,512,54,112,42,12
1,3,512,72,123,36,10
1,4,512,84,122,49,22
1,5,512,46,116,57,19
1,6,512,56,115,56,21
1,7,512,62,123,54,24
1,8,512,64,126,55,19
1,9,512,59,114,57,14
1,10,512,78,113,49,11
1,11,512,76,119,62,12
1,12,512,58,140,54,20
1,13,512,80,125,48,16
1,14,512,58,132,51,19
1,15,476,52,114,55,16
2,0,512,66,104,56,19
2,1,512,71,111,57,18
2,2,512,96,129,56,19
2,3,512,92,126,54,22
2,4,512,97,126,52,24
2,5,512,73,111,49,20
2,6,512,76,117,60,20
2,7,512,98,115,55,21
2,8,512,79,105,60,24
2,9,512,89,103,60,18
2,10,512,88,101,64,18
2,11,512,76,109,70,17
2,12,512,78,123,56,15
2,13,512,79,122,70,19
2,14,512,87,129,76,28
2,15,476,90,113,59,31
3,0,512,114,113,59,24
3,1,512,107,114,52,19
3,2,512,105,126,44,18
3,3,512,114,109,55,28
3,4,512,108,120,48,30
3,5,512,123,133,61,29
3,6,512,98,108,59,31
3,7,512,92,110,50,22
3,8,512,88,120,46,15
3,9,512,86,131,57,23
3,10,512,95,120,61,29
3,11,512,116,116,61,33
3,12,512,114,84,55,29
3,13,512,128,108,47,19
3,14,512,118,117,55,31
3,15,476,96,117,59,35
4,0,512,120,120,51,27
4,1,512,152,95,45,25
4,2,512,125,104,42,23
4,3,512,116,114,45,17
4,4,512,103,104,51,13
4,5,512,105,117,40,14
4,6,512,125,126,30,22
4,7,512,115,124,40,27
4,8,512,147,119,54,22
4,9,512,124,123,47,14
4,10,512,124,125,53,18
4,11,512,126,106,49,14
4,12,512,105,105,45,10
4,13,512,127,111,34,12
4,14,512,151,102,31,18
4,15,476,119,106,32,19
5,0,512,133,107,34,19
5,1,512,127,104,39,34
5,2,512,109,117,42,19
5,3,512,138,113,47,22
5,4,512,139,111,41,18
5,5,512,144,116,43,18
5,6,512,136,95,44,18
5,7,512,132,94,50,17
5,8,512,143,105,48,21
5,9,512,163,95,42,23
5,10,512,145,101,41,27
5,11,512,149,110,43,33
5,12,512,139,111,36,31
5,13,512,130,109,26,26
5,14,512,162,116,25,29
5,15,476,169,103,30,27
6,0,512,182,108,28,20
6,1,512,150,110,28,32
6,2,512,180,97,32,26
6,3,512,188,108,43,23
6,4,512,141,92,37,23
6,5,512,185,96,33,23
6,6,512,183,95,38,21
6,7,512,182,114,33,28
6,8,512,187,109,42,33
6,9,512,165,104,36,24
6,10,512,173,111,43,21
6,11,512,153,117,43,19
6,12,512,167,98,47,23
6,13,512,174,100,41,27
6,14,512,171,101,29,23
6,15,476,140,103,30,32
7,0,512,162,123,33,24
7,1,512,174,113,33,22
7,2,512,183,119,37,15
7,3,512,183,114,38,13
7,4,512,190,114,36,20
7,5,512,202,102,25,24
7,6,512,170,116,29,30
7,7,512,178,110,27,28
7,8,512,192,116,23,24
7,9,512,178,109,25,18
7,10,512,167,110,20,21
7,11,512,172,122,18,23
7,12,512,163,116,23,32
7,13,512,206,111,28,32
7,14,512,196,107,28,31
7,15,476,196,99,23,34
8,0,512,194,108,17,32
8,1,512,211,90,22,25
8,2,512,208,96,18,24
8,3,512,214,103,15,17
8,4,512,190,102,17,21
8,5,512,188,100,23,21
8,6,512,204,112,32,21
8,7,512,198,107,23,22
8,8,512,188,98,24,25
8,9,512,177,92,25,23
8,10,512,194,88,17,22
8,11,512,211,94,18,18
8,12,512,224,83,26,15
8,13,512,253,88,23,19
8,14,512,211,84,23,20
8,15,476,189,88,17,19
9,0,512,183,97,16,28
