Epoch,Batch,Num trials,Number correct,Input Recurrent rewired,Input Recurrent Inh rewired,Recurrent Recurrent rewired
0,0,512,20,69,12,3
0,1,512,28,107,20,6
0,2,512,27,123,17,9
0,3,512,31,120,20,10
0,4,512,20,107,27,9
0,5,512,33,88,26,7
0,6,512,37,82,26,9
0,7,512,47,86,35,9
0,8,512,38,85,32,11
0,9,512,49,87,40,14
0,10,512,55,80,31,7
0,11,512,66,81,39,6
0,12,512,71,81,43,11
0,13,512,64,73,42,11
0,14,512,75,62,38,9
0,15,476,64,43,32,6
1,0,512,77,61,23,5
1,1,512,74,63,29,11
1,2,512,77,65,27,14
1,3,512,85,69,27,9
1,4,512,80,62,24,8
1,5,512,69,56,35,6
1,6,512,78,59,40,6
1,7,512,92,62,34,9
1,8,512,72,54,35,9
1,9,512,81,56,34,10
1,10,512,76,63,38,9
1,11,512,84,63,43,7
1,12,512,84,52,38,3
1,13,512,82,50,38,8
1,14,512,88,45,36,6
1,15,476,97,39,36,10
2,0,512,102,50,36,6
2,1,512,96,45,43,5
2,2,512,100,42,31,8
2,3,512,101,51,25,8
2,4,512,83,55,35,8
2,5,512,96,47,29,9
2,6,512,71,41,23,8
2,7,512,92,48,34,5
2,8,512,75,55,33,8
2,9,512,71,52,29,6
2,10,512,81,48,32,10
2,11,512,89,50,26,10
2,12,512,71,54,32,10
2,13,512,100,47,27,8
2,14,512,77,46,23,7
2,15,476,105,52,24,8
3,0,512,129,60,26,12
3,1,512,138,63,19,15
3,2,512,122,53,22,17
3,3,512,124,38,21,9
3,4,512,120,51,19,5
3,5,512,123,49,25,7
3,6,512,124,42,23,6
3,7,512,116,43,25,5
3,8,512,118,39,26,6
3,9,512,104,47,26,7
3,10,512,118,55,17,8
3,11,512,146,58,16,7
3,12,512,137,55,15,10
3,13,512,141,44,22,12
3,14,512,125,42,20,8
3,15,476,117,42,16,7
4,0,512,137,45,15,9
4,1,512,140,47,15,6
4,2,512,138,51,19,6
4,3,512,150,52,19,7
4,4,512,154,62,20,7
4,5,512,130,47,27,4
4,6,512,141,38,23,2
4,7,512,129,59,20,5
4,8,512,147,56,25,6
4,9,512,158,60,14,8
4,10,512,158,51,15,7
4,11,512,167,49,14,9
4,12,512,158,46,10,6
4,13,512,148,45,17,6
4,14,512,154,58,13,7
4,15,476,150,54,17,4
5,0,512,153,49,21,1
5,1,512,157,59,17,2
5,2,512,157,53,12,4
5,3,512,177,48,13,2
5,4,512,160,52,18,3
5,5,512,151,51,17,1
5,6,512,152,56,12,3
5,7,512,165,52,13,6
5,8,512,162,42,18,8
5,9,512,189,48,16,8
5,10,512,148,59,16,4
5,11,512,158,55,11,3
5,12,512,161,48,13,4
5,13,512,162,53,13,6
5,14,512,160,69,16,7
5,15,476,149,53,14,10
6,0,512,187,57,16,7
6,1,512,172,58,16,7
6,2,512,161,53,19,5
6,3,512,187,60,20,11
6,4,512,177,60,11,8
6,5,512,178,60,10,6
6,6,512,152,64,12,6
6,7,512,169,61,12,7
6,8,512,169,55,11,5
6,9,512,167,51,13,2
6,10,512,178,44,15,3
6,11,512,193,48,13,3
6,12,512,198,45,13,4
6,13,512,187,46,12,4
6,14,512,184,47,12,6
6,15,476,166,46,13,8
7,0,512,183,52,11,5
7,1,512,179,59,8,7
7,2,512,184,59,5,5
7,3,512,165,62,9,4
7,4,512,188,54,12,7
7,5,512,188,58,15,5
7,6,512,174,53,10,6
7,7,512,185,49,12,8
7,8,512,183,47,12,7
7,9,512,203,53,15,4
7,10,512,204,45,13,3
7,11,512,199,52,16,7
7,12,512,179,44,15,5
7,13,512,213,55,10,9
7,14,512,200,69,13,10
7,15,476,193,62,9,11
8,0,512,213,58,5,11
8,1,512,224,56,8,5
8,2,512,198,51,3,9
8,3,512,213,49,6,6
8,4,512,211,54,10,5
8,5,512,195,51,10,3
8,6,512,223,64,5,4
8,7,512,201,59,4,5
8,8,512,194,52,8,3
8,9,512,198,55,11,3
8,10,512,208,58,8,3
8,11,512,211,59,9,5
8,12,512,192,58,11,7
8,13,512,191,50,13,7
8,14,512,192,45,13,7
8,15,476,185,44,7,5
9,0,512,221,44,12,3
9,1,512,222,50,13,3
9,2,512,217,51,6,5
9,3,512,210,55,9,4
9,4,512,207,45,6,4
9,5,512,207,45,7,4
9,6,512,212,52,10,4
9,7,512,202,54,14,7
9,8,512,246,41,12,10
9,9,512,243,47,11,6
9,10,512,227,37,15,7
9,11,512,236,38,9,6
9,12,512,230,50,8,5
9,13,512,215,56,12,5
9,14,512,215,46,9,5
9,15,476,217,54,6,1
10,0,512,223,45,13,3
10,1,512,235,54,12,4
10,2,512,238,53,8,5
10,3,512,220,62,4,6
10,4,512,215,60,6,5
10,5,512,231,53,13,4
10,6,512,223,42,12,5
10,7,512,195,42,6,9
10,8,512,198,47,6,5
10,9,512,230,55,7,4
10,10,512,239,54,11,2
10,11,512,232,63,13,8
10,12,512,234,56,10,6
10,13,512,227,48,10,6
10,14,512,218,31,7,6
10,15,476,219,41,10,4
11,0,512,229,52,10,6
11,1,512,241,56,4,6
11,2,512,220,48,5,4
11,3,512,239,52,7,7
11,4,512,251,49,6,6
11,5,512,240,43,8,9
11,6,512,245,42,7,10
11,7,512,253,40,8,9
11,8,512,249,41,11,8
11,9,512,239,36,7,8
11,10,512,219,42,4,8
11,11,512,243,38,6,9
11,12,512,235,46,9,9
11,13,512,230,50,6,8
11,14,512,248,47,4,5
11,15,476,230,40,6,7
12,0,512,224,43,8,5
12,1,512,263,50,8,5
12,2,512,228,32,11,7
12,3,512,236,37,8,6
12,4,512,237,44,11,6
12,5,512,233,46,9,6
12,6,512,231,40,6,5
12,7,512,229,45,7,6
12,8,512,247,53,1,5
12,9,512,245,59,3,6
12,10,512,260,59,8,2
12,11,512,222,54,4,5
12,12,512,244,41,5,7
12,13,512,240,50,4,7
12,14,512,262,48,7,6
12,15,476,238,49,12,6
13,0,512,259,41,12,2
13,1,512,258,46,6,4
13,2,512,246,44,4,2
13,3,512,262,43,5,4
13,4,512,247,40,6,3
13,5,512,240,40,6,4
13,6,512,268,49,5,4
13,7,512,265,42,6,2
13,8,512,260,40,7,2
13,9,512,251,45,8,3
13,10,512,244,43,8,4
13,11,512,233,39,9,4
13,12,512,251,37,9,4
13,13,512,267,38,8,5
13,14,512,264,35,10,4
13,15,476,248,33,13,1
14,0,512,268,23,9,3
14,1,512,264,21,10,1
14,2,512,279,36,10,2
14,3,512,285,30,10,2
14,4,512,252,26,5,2
14,5,512,258,36,3,3
14,6,512,250,39,10,3
14,7,512,250,40,7,2
14,8,512,247,31,7,3
14,9,512,260,25,5,5
14,10,512,254,30,4,4
14,11,512,267,34,7,4
14,12,512,274,37,5,3
14,13,512,290,33,3,2
14,14,512,270,33,5,1
14,15,476,242,35,6,2
15,0,512,277,30,7,2
15,1,512,277,37,8,4
15,2,512,268,41,7,4
15,3,512,267,31,7,6
15,4,512,265,34,7,2
15,5,512,235,36,7,4
15,6,512,269,33,4,7
15,7,512,255,41,6,4
15,8,512,284,38,8,4
15,9,512,263,36,9,5
15,10,512,288,33,6,7
15,11,512,268,35,9,6
15,12,512,270,26,7,6
15,13,512,262,33,8,5
15,14,512,249,29,10,2
15,15,476,250,28,7,3
16,0,512,260,35,6,5
16,1,512,271,34,4,4
16,2,512,301,29,7,3
16,3,512,254,29,8,5
16,4,512,275,26,10,2
16,5,512,240,34,8,2
16,6,512,275,34,8,2
16,7,512,270,28,8,3
16,8,512,275,30,5,3
16,9,512,264,28,8,5
16,10,512,262,24,5,2
16,11,512,248,26,7,6
16,12,512,234,32,4,6
16,13,512,254,30,3,5
16,14,512,271,32,4,8
16,15,476,247,29,4,3
17,0,512,256,31,4,3
17,1,512,272,42,7,1
17,2,512,291,33,6,2
17,3,512,296,37,6,2
17,4,512,277,33,5,2
17,5,512,261,28,9,1
17,6,512,266,27,6,1
17,7,512,280,43,6,0
17,8,512,271,27,3,1
17,9,512,278,25,2,2
17,10,512,257,24,8,3
17,11,512,272,24,7,3
17,12,512,255,29,4,2
17,13,512,266,38,8,1
17,14,512,275,25,7,1
17,15,476,253,19,4,2
18,0,512,279,25,4,1
18,1,512,278,36,4,3
18,2,512,271,32,7,5
18,3,512,273,38,11,4
