Epoch,Batch,Num trials,Number correct,Input Recurrent rewired,Input Recurrent Inh rewired,Recurrent Recurrent rewired
0,0,512,20,163,26,20
0,1,512,25,228,27,31
0,2,512,27,205,38,36
0,3,512,38,230,34,34
0,4,512,37,209,41,27
0,5,512,38,189,32,20
0,6,512,38,206,33,29
0,7,512,36,178,27,25
0,8,512,45,165,30,20
0,9,512,48,145,35,12
0,10,512,56,152,43,20
0,11,512,36,141,37,18
0,12,512,32,126,31,17
0,13,512,32,125,40,13
0,14,512,35,109,42,11
0,15,476,39,112,29,14
1,0,512,52,113,23,16
1,1,512,50,135,36,14
1,2,512,61,139,45,16
1,3,512,68,123,41,25
1,4,512,61,113,40,24
1,5,512,73,112,40,14
1,6,512,64,130,47,17
1,7,512,63,127,50,21
1,8,512,71,105,47,18
1,9,512,96,112,41,14
1,10,512,83,125,51,12
1,11,512,108,110,62,15
1,12,512,107,109,58,9
1,13,512,105,108,51,15
1,14,512,109,120,49,13
1,15,476,90,124,45,13
2,0,512,71,125,38,10
2,1,512,100,145,39,8
2,2,512,99,136,38,18
2,3,512,105,131,35,21
2,4,512,99,115,43,22
2,5,512,85,103,42,17
2,6,512,112,101,33,12
2,7,512,114,94,35,14
2,8,512,99,110,44,19
2,9,512,111,113,50,25
2,10,512,110,121,55,20
2,11,512,125,106,38,21
2,12,512,123,97,44,16
2,13,512,115,118,52,20
2,14,512,111,118,40,16
2,15,476,128,117,42,20
3,0,512,133,96,41,16
3,1,512,121,115,37,12
3,2,512,104,121,37,19
3,3,512,122,120,37,22
3,4,512,123,127,40,21
3,5,512,118,133,31,29
3,6,512,123,120,46,34
3,7,512,137,127,38,25
3,8,512,141,119,40,29
3,9,512,137,129,49,23
3,10,512,138,121,39,30
3,11,512,151,126,33,28
3,12,512,133,113,45,26
3,13,512,130,111,39,16
3,14,512,133,92,42,16
3,15,476,140,98,35,18
4,0,512,146,88,33,22
4,1,512,146,82,30,20
4,2,512,171,80,34,19
4,3,512,147,102,35,12
4,4,512,161,103,43,17
4,5,512,166,100,31,19
4,6,512,168,103,27,22
4,7,512,146,111,22,24
4,8,512,165,112,23,17
4,9,512,142,107,24,10
4,10,512,154,117,27,19
4,11,512,152,99,32,18
4,12,512,153,100,28,18
4,13,512,150,107,27,10
4,14,512,139,106,30,11
4,15,476,148,93,26,20
5,0,512,168,102,25,13
5,1,512,174,98,22,15
5,2,512,173,100,26,12
5,3,512,167,110,26,11
5,4,512,171,103,22,20
5,5,512,171,96,22,18
5,6,512,195,102,23,22
5,7,512,172,119,22,21
5,8,512,187,117,24,20
5,9,512,159,114,17,19
5,10,512,160,98,20,16
5,11,512,160,95,20,15
5,12,512,159,98,18,15
5,13,512,179,115,17,19
5,14,512,170,120,18,17
5,15,476,141,125,17,17
6,0,512,154,116,24,21
6,1,512,197,113,28,24
6,2,512,186,125,22,26
6,3,512,181,112,22,18
6,4,512,190,107,17,22
6,5,512,165,108,12,17
6,6,512,181,95,21,15
6,7,512,172,105,16,19
6,8,512,174,104,10,18
6,9,512,169,94,16,19
6,10,512,175,103,22,22
6,11,512,181,91,20,15
6,12,512,175,92,22,14
6,13,512,162,102,19,18
6,14,512,185,103,23,22
6,15,476,160,107,24,20
7,0,512,186,114,24,16
7,1,512,189,104,25,12
7,2,512,191,97,19,13
7,3,512,183,104,18,20
7,4,512,187,109,22,18
7,5,512,184,105,21,9
7,6,512,168,126,18,17
7,7,512,169,108,19,17
7,8,512,157,106,16,13
7,9,512,207,91,27,16
7,10,512,185,107,20,18
7,11,512,190,110,16,14
7,12,512,184,104,20,11
7,13,512,196,93,20,10
7,14,512,204,87,22,10
7,15,476,196,89,19,16
8,0,512,210,85,17,13
8,1,512,183,103,17,13
8,2,512,183,93,22,13
8,3,512,173,102,21,14
8,4,512,166,109,18,17
8,5,512,194,108,17,12
8,6,512,196,96,18,18
8,7,512,210,90,21,25
8,8,512,203,88,16,19
8,9,512,198,106,13,14
8,10,512,189,96,15,14
8,11,512,197,93,18,11
8,12,512,208,92,19,13
8,13,512,201,81,15,13
8,14,512,211,86,19,17
8,15,476,188,87,15,17
9,0,512,216,99,11,19
9,1,512,182,95,10,15
9,2,512,181,94,14,18
9,3,512,207,90,25,15
9,4,512,216,97,20,15
9,5,512,224,84,23,16
9,6,512,199,87,29,13
9,7,512,191,99,29,15
9,8,512,228,108,25,11
9,9,512,224,90,22,13
9,10,512,215,82,21,10
9,11,512,208,97,21,17
9,12,512,196,99,21,18
9,13,512,215,87,17,15
9,14,512,206,77,14,17
9,15,476,195,93,15,13
10,0,512,210,91,16,11
10,1,512,217,77,10,13
10,2,512,237,91,12,10
10,3,512,245,77,15,7
10,4,512,219,75,15,13
10,5,512,238,88,19,14
10,6,512,218,85,17,13
10,7,512,209,79,21,16
10,8,512,202,73,18,15
10,9,512,230,88,21,13
10,10,512,212,91,18,11
10,11,512,234,85,18,9
10,12,512,239,86,30,5
10,13,512,225,87,28,7
10,14,512,213,86,23,9
10,15,476,190,94,23,8
11,0,512,237,99,21,7
11,1,512,267,85,16,11
11,2,512,221,81,14,13
11,3,512,223,90,19,13
11,4,512,248,88,20,16
11,5,512,242,77,12,13
11,6,512,218,69,10,10
11,7,512,220,76,15,17
11,8,512,205,87,19,18
11,9,512,219,75,18,16
11,10,512,219,89,15,10
11,11,512,228,83,11,8
11,12,512,236,82,15,11
11,13,512,257,76,13,11
11,14,512,241,71,18,15
11,15,476,241,67,20,7
12,0,512,230,65,21,11
12,1,512,242,73,20,14
12,2,512,252,86,13,17
12,3,512,237,83,19,10
12,4,512,249,70,18,12
12,5,512,242,73,16,15
12,6,512,224,68,11,15
12,7,512,239,77,14,9
12,8,512,241,74,16,8
12,9,512,236,81,16,10
12,10,512,243,76,20,11
12,11,512,246,67,27,11
12,12,512,250,63,24,14
12,13,512,265,64,23,11
12,14,512,223,81,24,13
12,15,476,219,86,21,13
13,0,512,256,65,16,13
13,1,512,252,64,16,15
13,2,512,247,72,19,11
13,3,512,251,65,18,12
13,4,512,242,68,19,16
13,5,512,241,71,17,10
13,6,512,229,56,18,12
13,7,512,239,64,17,12
13,8,512,249,73,11,15
13,9,512,235,72,9,18
13,10,512,275,69,10,23
13,11,512,253,68,11,19
13,12,512,223,77,14,18
13,13,512,207,89,15,19
13,14,512,243,88,23,14
13,15,476,229,89,18,11
14,0,512,250,85,19,12
14,1,512,246,92,16,13
14,2,512,249,87,18,11
14,3,512,237,69,17,9
14,4,512,246,66,17,20
14,5,512,243,54,15,17
14,6,512,252,53,17,12
14,7,512,258,62,16,16
14,8,512,260,70,17,16
14,9,512,268,73,24,8
14,10,512,271,70,20,11
14,11,512,252,79,18,14
14,12,512,261,85,15,15
14,13,512,268,68,12,17
14,14,512,264,74,17,24
14,15,476,243,80,22,13
15,0,512,248,73,18,10
15,1,512,245,77,18,12
15,2,512,228,72,14,14
15,3,512,241,70,11,17
15,4,512,284,72,8,15
15,5,512,263,72,12,13
15,6,512,244,77,11,12
15,7,512,245,90,11,17
15,8,512,253,92,11,19
15,9,512,272,90,15,13
15,10,512,270,98,11,17
15,11,512,291,91,9,17
15,12,512,274,86,16,15
15,13,512,268,59,15,14
15,14,512,273,58,14,8
15,15,476,266,70,12,11
16,0,512,276,71,12,12
16,1,512,290,72,13,12
16,2,512,265,62,22,10
16,3,512,252,66,19,8
16,4,512,262,86,10,11
16,5,512,280,85,13,15
16,6,512,290,83,13,19
16,7,512,251,82,9,21
16,8,512,293,68,8,22
16,9,512,266,69,10,20
16,10,512,254,70,7,16
16,11,512,271,55,7,20
16,12,512,262,60,8,12
16,13,512,262,65,11,8
16,14,512,244,62,16,15
16,15,476,252,54,15,16
17,0,512,269,51,17,16
17,1,512,258,58,16,15
17,2,512,262,60,14,12
17,3,512,269,70,12,16
17,4,512,284,71,12,13
17,5,512,299,72,15,14
17,6,512,288,70,14,19
17,7,512,281,62,10,17
17,8,512,264,65,15,19
17,9,512,276,65,11,16
17,10,512,270,66,8,14
17,11,512,279,56,14,17
17,12,512,281,74,15,13
17,13,512,267,69,16,9
17,14,512,276,61,13,8
17,15,476,267,63,9,13
18,0,512,305,65,8,20
18,1,512,306,65,12,14
18,2,512,267,67,7,12
18,3,512,271,54,7,18
18,4,512,271,54,13,8
18,5,512,293,54,15,3
18,6,512,274,68,11,8
18,7,512,302,73,11,14
18,8,512,287,69,6,12
18,9,512,261,76,7,12
18,10,512,298,92,9,10
18,11,512,271,79,8,10
18,12,512,294,69,12,6
18,13,512,285,75,15,11
18,14,512,272,70,11,9
18,15,476,274,86,17,9
19,0,512,282,85,16,12
19,1,512,263,84,11,9
19,2,512,287,68,7,8
19,3,512,287,65,11,11
19,4,512,284,44,12,12
19,5,512,271,51,11,12
19,6,512,278,51,13,21
