Epoch,Batch,Num trials,Number correct
0,0,512,23
0,1,512,21
0,2,512,32
0,3,512,46
0,4,512,43
0,5,512,39
0,6,512,72
0,7,512,67
0,8,512,69
0,9,512,79
0,10,512,72
0,11,512,42
0,12,512,33
0,13,512,63
0,14,512,33
0,15,476,37
1,0,512,40
1,1,512,87
1,2,512,50
1,3,512,36
1,4,512,62
1,5,512,35
1,6,512,49
1,7,512,78
1,8,512,74
1,9,512,105
1,10,512,81
1,11,512,63
1,12,512,80
1,13,512,77
1,14,512,81
1,15,476,96
2,0,512,85
2,1,512,105
2,2,512,112
2,3,512,97
2,4,512,82
2,5,512,42
2,6,512,69
2,7,512,31
2,8,512,95
2,9,512,98
2,10,512,65
2,11,512,102
2,12,512,118
2,13,512,139
2,14,512,99
2,15,476,74
3,0,512,60
3,1,512,128
3,2,512,131
3,3,512,123
3,4,512,110
3,5,512,122
3,6,512,103
3,7,512,114
3,8,512,126
3,9,512,131
3,10,512,156
3,11,512,103
3,12,512,61
3,13,512,72
3,14,512,140
3,15,476,136
4,0,512,146
4,1,512,158
4,2,512,174
4,3,512,141
4,4,512,117
4,5,512,140
4,6,512,151
4,7,512,132
4,8,512,121
4,9,512,158
4,10,512,184
4,11,512,149
4,12,512,157
4,13,512,162
4,14,512,179
4,15,476,142
5,0,512,166
5,1,512,165
5,2,512,158
5,3,512,165
5,4,512,164
5,5,512,152
5,6,512,157
5,7,512,151
5,8,512,184
5,9,512,142
5,10,512,161
5,11,512,150
5,12,512,177
5,13,512,184
5,14,512,186
5,15,476,155
6,0,512,142
6,1,512,156
6,2,512,166
6,3,512,181
6,4,512,188
6,5,512,222
6,6,512,190
6,7,512,181
6,8,512,179
6,9,512,219
6,10,512,194
6,11,512,208
6,12,512,193
6,13,512,170
6,14,512,200
6,15,476,183
7,0,512,220
7,1,512,242
7,2,512,251
7,3,512,243
7,4,512,177
7,5,512,173
7,6,512,187
7,7,512,207
7,8,512,184
7,9,512,200
7,10,512,146
7,11,512,164
7,12,512,210
7,13,512,208
7,14,512,225
7,15,476,177
8,0,512,191
8,1,512,189
8,2,512,167
8,3,512,204
8,4,512,208
8,5,512,239
8,6,512,244
8,7,512,228
8,8,512,207
8,9,512,211
8,10,512,231
8,11,512,210
8,12,512,228
8,13,512,202
8,14,512,227
8,15,476,237
9,0,512,273
9,1,512,244
9,2,512,235
9,3,512,240
9,4,512,261
9,5,512,228
9,6,512,260
9,7,512,249
9,8,512,233
9,9,512,232
9,10,512,222
9,11,512,218
9,12,512,241
9,13,512,216
9,14,512,202
9,15,476,189
10,0,512,236
10,1,512,276
10,2,512,285
10,3,512,204
10,4,512,129
10,5,512,194
10,6,512,213
10,7,512,236
10,8,512,232
10,9,512,215
10,10,512,226
10,11,512,272
10,12,512,219
10,13,512,174
10,14,512,233
10,15,476,229
11,0,512,262
11,1,512,306
11,2,512,303
11,3,512,275
11,4,512,261
11,5,512,256
11,6,512,263
11,7,512,284
11,8,512,293
11,9,512,296
11,10,512,301
11,11,512,303
11,12,512,299
11,13,512,299
11,14,512,318
11,15,476,310
12,0,512,298
12,1,512,263
12,2,512,293
12,3,512,276
12,4,512,292
12,5,512,315
12,6,512,340
12,7,512,298
12,8,512,291
12,9,512,284
12,10,512,287
12,11,512,321
12,12,512,286
12,13,512,293
12,14,512,263
12,15,476,280
13,0,512,241
13,1,512,282
13,2,512,251
13,3,512,268
13,4,512,285
13,5,512,249
13,6,512,249
13,7,512,245
13,8,512,251
13,9,512,275
13,10,512,244
13,11,512,217
13,12,512,264
13,13,512,231
13,14,512,236
13,15,476,266
14,0,512,327
14,1,512,331
14,2,512,340
14,3,512,305
14,4,512,327
14,5,512,288
14,6,512,311
14,7,512,298
14,8,512,353
14,9,512,315
14,10,512,286
14,11,512,316
14,12,512,280
14,13,512,312
14,14,512,375
14,15,476,333
15,0,512,353
15,1,512,333
15,2,512,330
15,3,512,332
15,4,512,374
15,5,512,347
15,6,512,348
15,7,512,340
15,8,512,348
15,9,512,339
15,10,512,337
15,11,512,326
15,12,512,363
15,13,512,366
15,14,512,356
15,15,476,338
16,0,512,340
16,1,512,327
16,2,512,363
16,3,512,370
16,4,512,318
16,5,512,332
16,6,512,365
16,7,512,340
16,8,512,360
16,9,512,370
16,10,512,384
16,11,512,338
16,12,512,295
16,13,512,308
16,14,512,361
16,15,476,318
17,0,512,311
17,1,512,350
17,2,512,327
17,3,512,364
17,4,512,341
17,5,512,363
17,6,512,364
17,7,512,334
17,8,512,328
17,9,512,326
17,10,512,370
17,11,512,328
17,12,512,347
17,13,512,376
17,14,512,355
17,15,476,295
18,0,512,314
18,1,512,323
18,2,512,318
18,3,512,341
18,4,512,363
18,5,512,361
18,6,512,304
18,7,512,292
18,8,512,337
18,9,512,371
18,10,512,348
18,11,512,332
18,12,512,303
18,13,512,268
18,14,512,305
18,15,476,308
19,0,512,315
19,1,512,297
19,2,512,347
19,3,512,341
19,4,512,308
19,5,512,336
19,6,512,332
19,7,512,293
19,8,512,281
19,9,512,341
19,10,512,307
19,11,512,312
19,12,512,291
19,13,512,265
19,14,512,222
19,15,476,260
20,0,512,303
20,1,512,327
20,2,512,298
20,3,512,269
20,4,512,308
20,5,512,351
20,6,512,346
20,7,512,299
20,8,512,233
20,9,512,245
20,10,512,352
20,11,512,330
20,12,512,278
20,13,512,321
20,14,512,317
20,15,476,302
21,0,512,326
21,1,512,329
21,2,512,350
21,3,512,336
21,4,512,323
21,5,512,362
21,6,512,343
21,7,512,325
21,8,512,291
21,9,512,362
21,10,512,351
21,11,512,361
21,12,512,352
21,13,512,356
21,14,512,280
21,15,476,330
22,0,512,373
22,1,512,343
22,2,512,345
22,3,512,319
22,4,512,285
22,5,512,336
22,6,512,361
22,7,512,397
22,8,512,349
22,9,512,339
22,10,512,371
22,11,512,370
22,12,512,373
22,13,512,383
22,14,512,357
22,15,476,337
23,0,512,401
23,1,512,370
23,2,512,346
23,3,512,360
23,4,512,369
23,5,512,392
23,6,512,389
23,7,512,395
23,8,512,366
23,9,512,353
23,10,512,371
23,11,512,337
23,12,512,396
23,13,512,333
23,14,512,319
23,15,476,296
24,0,512,356
24,1,512,387
24,2,512,384
24,3,512,388
24,4,512,356
24,5,512,322
24,6,512,369
24,7,512,410
24,8,512,390
24,9,512,362
24,10,512,367
24,11,512,372
24,12,512,397
24,13,512,391
24,14,512,364
24,15,476,378
25,0,512,384
25,1,512,360
25,2,512,386
25,3,512,410
25,4,512,384
25,5,512,354
25,6,512,324
25,7,512,372
25,8,512,395
25,9,512,409
25,10,512,377
25,11,512,359
25,12,512,347
25,13,512,366
25,14,512,395
25,15,476,320
26,0,512,383
26,1,512,381
26,2,512,384
26,3,512,360
26,4,512,361
26,5,512,387
26,6,512,421
26,7,512,391
26,8,512,375
26,9,512,392
26,10,512,389
26,11,512,408
26,12,512,415
26,13,512,448
26,14,512,436
26,15,476,392
27,0,512,404
27,1,512,418
27,2,512,415
27,3,512,413
27,4,512,415
27,5,512,418
27,6,512,420
27,7,512,400
27,8,512,415
27,9,512,393
27,10,512,385
27,11,512,359
27,12,512,389
27,13,512,427
27,14,512,421
27,15,476,339
28,0,512,387
28,1,512,399
28,2,512,394
28,3,512,389
28,4,512,421
28,5,512,412
28,6,512,383
28,7,512,386
28,8,512,387
28,9,512,387
28,10,512,424
28,11,512,394
28,12,512,398
28,13,512,405
28,14,512,397
28,15,476,371
29,0,512,407
29,1,512,403
29,2,512,397
29,3,512,397
29,4,512,415
29,5,512,422
29,6,512,425
29,7,512,424
29,8,512,407
29,9,512,414
29,10,512,440
29,11,512,427
29,12,512,410
29,13,512,406
29,14,512,399
29,15,476,396
30,0,512,415
30,1,512,423
30,2,512,407
30,3,512,407
30,4,512,431
30,5,512,426
30,6,512,413
30,7,512,408
30,8,512,419
30,9,512,391
30,10,512,393
30,11,512,399
30,12,512,388
30,13,512,388
30,14,512,434
30,15,476,388
31,0,512,388
31,1,512,413
31,2,512,410
31,3,512,426
31,4,512,445
31,5,512,430
31,6,512,429
31,7,512,433
31,8,512,427
31,9,512,435
31,10,512,430
31,11,512,415
31,12,512,419
31,13,512,398
31,14,512,409
31,15,476,370
32,0,512,369
32,1,512,349
32,2,512,405
32,3,512,371
32,4,512,370
32,5,512,390
32,6,512,385
32,7,512,412
32,8,512,418
32,9,512,387
32,10,512,390
32,11,512,376
32,12,512,380
32,13,512,397
32,14,512,400
32,15,476,380
33,0,512,394
33,1,512,406
33,2,512,424
33,3,512,414
33,4,512,421
33,5,512,425
33,6,512,411
33,7,512,417
33,8,512,427
33,9,512,420
33,10,512,416
33,11,512,432
33,12,512,423
33,13,512,430
33,14,512,422
33,15,476,384
34,0,512,404
34,1,512,414
34,2,512,423
34,3,512,403
34,4,512,423
34,5,512,426
34,6,512,416
34,7,512,410
34,8,512,396
34,9,512,442
34,10,512,429
34,11,512,405
34,12,512,389
34,13,512,382
34,14,512,406
34,15,476,393
35,0,512,393
35,1,512,387
35,2,512,427
35,3,512,372
35,4,512,269
35,5,512,360
35,6,512,316
35,7,512,343
35,8,512,337
35,9,512,316
35,10,512,337
35,11,512,317
35,12,512,328
35,13,512,301
35,14,512,322
35,15,476,360
36,0,512,375
36,1,512,382
36,2,512,382
36,3,512,389
36,4,512,349
36,5,512,344
36,6,512,405
36,7,512,409
36,8,512,374
36,9,512,390
36,10,512,394
36,11,512,382
36,12,512,374
36,13,512,386
36,14,512,387
36,15,476,372
37,0,512,408
37,1,512,413
37,2,512,441
37,3,512,424
37,4,512,410
37,5,512,391
37,6,512,393
37,7,512,425
37,8,512,434
37,9,512,385
37,10,512,392
37,11,512,410
37,12,512,428
37,13,512,402
37,14,512,418
37,15,476,349
38,0,512,381
38,1,512,391
38,2,512,407
38,3,512,404
38,4,512,418
38,5,512,418
38,6,512,427
38,7,512,425
38,8,512,405
38,9,512,395
38,10,512,405
38,11,512,395
38,12,512,411
38,13,512,326
38,14,512,416
38,15,476,368
39,0,512,391
39,1,512,413
39,2,512,407
39,3,512,393
39,4,512,386
39,5,512,410
39,6,512,408
39,7,512,445
39,8,512,446
39,9,512,420
39,10,512,430
39,11,512,437
39,12,512,447
39,13,512,386
39,14,512,428
39,15,476,369
40,0,512,353
40,1,512,390
40,2,512,383
40,3,512,414
40,4,512,408
40,5,512,408
40,6,512,411
40,7,512,430
40,8,512,429
40,9,512,452
40,10,512,430
40,11,512,406
40,12,512,396
40,13,512,378
40,14,512,408
40,15,476,388
41,0,512,408
41,1,512,397
41,2,512,388
41,3,512,405
41,4,512,422
41,5,512,429
41,6,512,424
41,7,512,406
41,8,512,430
41,9,512,435
41,10,512,442
41,11,512,430
41,12,512,418
41,13,512,366
41,14,512,414
41,15,476,401
42,0,512,443
42,1,512,418
42,2,512,442
42,3,512,436
42,4,512,423
42,5,512,401
42,6,512,396
42,7,512,409
42,8,512,420
42,9,512,440
42,10,512,454
42,11,512,443
42,12,512,435
42,13,512,443
42,14,512,423
42,15,476,409
43,0,512,447
43,1,512,437
43,2,512,432
43,3,512,447
43,4,512,426
43,5,512,434
43,6,512,448
43,7,512,452
43,8,512,437
43,9,512,437
43,10,512,423
43,11,512,446
43,12,512,454
43,13,512,428
43,14,512,439
43,15,476,417
44,0,512,445
44,1,512,446
44,2,512,437
44,3,512,440
44,4,512,450
44,5,512,463
44,6,512,433
44,7,512,441
44,8,512,430
44,9,512,445
44,10,512,452
44,11,512,447
44,12,512,464
44,13,512,455
44,14,512,439
44,15,476,406
45,0,512,424
45,1,512,438
45,2,512,464
45,3,512,469
45,4,512,456
45,5,512,465
45,6,512,460
45,7,512,439
45,8,512,447
45,9,512,447
45,10,512,446
45,11,512,443
45,12,512,460
45,13,512,403
45,14,512,378
45,15,476,413
46,0,512,429
46,1,512,441
46,2,512,427
46,3,512,428
46,4,512,415
46,5,512,423
46,6,512,436
46,7,512,442
46,8,512,452
46,9,512,436
46,10,512,399
46,11,512,439
46,12,512,419
46,13,512,425
46,14,512,438
46,15,476,422
47,0,512,417
47,1,512,426
47,2,512,431
47,3,512,458
47,4,512,445
47,5,512,442
47,6,512,447
47,7,512,453
47,8,512,463
47,9,512,451
47,10,512,452
47,11,512,450
47,12,512,451
47,13,512,438
47,14,512,444
47,15,476,430
48,0,512,469
48,1,512,477
48,2,512,457
48,3,512,471
48,4,512,439
48,5,512,462
48,6,512,448
48,7,512,469
48,8,512,472
48,9,512,452
48,10,512,450
48,11,512,456
48,12,512,455
48,13,512,460
48,14,512,463
48,15,476,415
49,0,512,455
49,1,512,441
49,2,512,451
49,3,512,449
49,4,512,441
49,5,512,461
49,6,512,460
49,7,512,473
49,8,512,459
49,9,512,443
49,10,512,429
49,11,512,432
49,12,512,436
49,13,512,449
49,14,512,465
49,15,476,426
50,0,512,446
50,1,512,450
50,2,512,433
50,3,512,449
50,4,512,433
50,5,512,447
50,6,512,458
50,7,512,431
50,8,512,457
50,9,512,406
50,10,512,465
50,11,512,442
50,12,512,405
50,13,512,433
50,14,512,449
50,15,476,410
51,0,512,423
51,1,512,402
51,2,512,436
51,3,512,436
51,4,512,433
51,5,512,414
51,6,512,425
51,7,512,437
51,8,512,440
51,9,512,460
51,10,512,420
51,11,512,414
51,12,512,404
51,13,512,407
51,14,512,385
51,15,476,383
52,0,512,418
52,1,512,418
52,2,512,422
52,3,512,446
52,4,512,439
52,5,512,446
52,6,512,419
52,7,512,429
52,8,512,424
52,9,512,434
52,10,512,444
52,11,512,448
52,12,512,444
52,13,512,417
52,14,512,403
52,15,476,404
53,0,512,441
53,1,512,424
53,2,512,423
53,3,512,428
53,4,512,421
53,5,512,411
53,6,512,403
53,7,512,418
53,8,512,439
53,9,512,443
53,10,512,431
53,11,512,430
53,12,512,430
53,13,512,433
53,14,512,452
53,15,476,396
54,0,512,434
54,1,512,433
54,2,512,451
54,3,512,454
54,4,512,445
54,5,512,455
54,6,512,450
54,7,512,459
54,8,512,456
54,9,512,461
54,10,512,452
54,11,512,437
54,12,512,451
54,13,512,451
54,14,512,430
54,15,476,418
55,0,512,459
55,1,512,445
55,2,512,443
55,3,512,455
55,4,512,443
55,5,512,459
55,6,512,456
55,7,512,436
55,8,512,437
55,9,512,464
55,10,512,457
55,11,512,428
55,12,512,431
55,13,512,452
55,14,512,451
55,15,476,380
56,0,512,433
56,1,512,442
56,2,512,443
56,3,512,451
56,4,512,462
56,5,512,445
56,6,512,451
56,7,512,471
56,8,512,466
56,9,512,442
56,10,512,465
56,11,512,471
56,12,512,466
56,13,512,445
56,14,512,453
56,15,476,420
57,0,512,462
57,1,512,450
57,2,512,454
57,3,512,471
57,4,512,462
57,5,512,456
57,6,512,444
57,7,512,438
57,8,512,450
57,9,512,434
57,10,512,425
57,11,512,451
57,12,512,450
57,13,512,457
57,14,512,467
57,15,476,420
58,0,512,458
58,1,512,466
58,2,512,461
58,3,512,457
58,4,512,457
58,5,512,447
58,6,512,439
58,7,512,430
58,8,512,434
58,9,512,359
58,10,512,382
58,11,512,439
58,12,512,456
58,13,512,428
58,14,512,410
58,15,476,371
59,0,512,421
59,1,512,390
59,2,512,418
59,3,512,433
59,4,512,410
59,5,512,409
59,6,512,405
59,7,512,446
59,8,512,439
59,9,512,437
59,10,512,410
59,11,512,379
59,12,512,427
59,13,512,459
59,14,512,448
59,15,476,401
60,0,512,444
60,1,512,437
60,2,512,442
60,3,512,432
60,4,512,451
60,5,512,453
60,6,512,442
60,7,512,443
60,8,512,451
60,9,512,413
60,10,512,449
60,11,512,457
60,12,512,421
60,13,512,404
60,14,512,433
60,15,476,413
61,0,512,466
61,1,512,441
61,2,512,423
61,3,512,423
61,4,512,448
61,5,512,455
61,6,512,436
61,7,512,427
61,8,512,428
61,9,512,443
61,10,512,449
61,11,512,440
61,12,512,444
61,13,512,457
61,14,512,456
61,15,476,423
62,0,512,469
62,1,512,456
62,2,512,455
62,3,512,448
62,4,512,436
62,5,512,428
62,6,512,432
62,7,512,455
62,8,512,452
62,9,512,452
62,10,512,439
62,11,512,463
62,12,512,434
62,13,512,425
62,14,512,436
62,15,476,401
63,0,512,446
63,1,512,453
63,2,512,458
63,3,512,468
63,4,512,456
63,5,512,467
63,6,512,455
63,7,512,475
63,8,512,463
63,9,512,467
63,10,512,464
63,11,512,456
63,12,512,452
63,13,512,468
63,14,512,460
63,15,476,439
64,0,512,463
64,1,512,435
64,2,512,441
64,3,512,464
64,4,512,462
64,5,512,455
64,6,512,464
64,7,512,464
64,8,512,455
64,9,512,448
64,10,512,440
64,11,512,455
64,12,512,457
64,13,512,462
64,14,512,460
64,15,476,437
65,0,512,462
65,1,512,473
65,2,512,468
65,3,512,470
65,4,512,465
65,5,512,465
65,6,512,471
65,7,512,468
65,8,512,472
65,9,512,462
65,10,512,458
65,11,512,458
65,12,512,466
65,13,512,464
65,14,512,456
65,15,476,437
66,0,512,451
66,1,512,429
66,2,512,419
66,3,512,433
66,4,512,448
