System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
13:11:03:306, 45412381067950,   35.816,   17.000, 4000,  25.758, 770.999, 214.166,  14.091, 418.195, 116.165, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:03:428, 45412737556423,   35.939,   16.000, 3900,  25.719, 774.156, 215.043,  13.935, 419.906, 116.641, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:03:531, 45413034536985,   36.041,   16.000, 4000,  25.591, 776.773, 215.770,  13.913, 421.329, 117.036, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:03:633, 45413331727737,   36.144,   16.000, 3900,  25.546, 779.388, 216.497,  13.902, 422.751, 117.431, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:03:756, 45413687896127,   36.266,   16.000, 3900,  25.795, 782.552, 217.375,  13.998, 424.468, 117.908, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:03:858, 45413984420068,   36.369,   16.000, 4000,  25.757, 785.182, 218.106,  14.042, 425.902, 118.306, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:03:980, 45414340711995,   36.491,   20.000, 3900,  26.479, 788.430, 219.008,  14.684, 427.704, 118.807, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:04:103, 45414696529885,   36.614,   17.000, 4000,  26.247, 791.646, 219.902,  14.625, 429.496, 119.304, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:04:226, 45415052713374,   36.736,   17.000, 3900,  25.874, 794.820, 220.783,  14.060, 431.220, 119.783, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:04:328, 45415349726503,   36.839,   16.000, 4000,  25.700, 797.448, 221.513,  14.031, 432.655, 120.182, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:04:430, 45415646673051,   36.941,   16.000, 3900,  25.812, 800.088, 222.247,  13.893, 434.076, 120.577, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:04:553, 45416002745056,   37.064,   16.000, 4000,  25.550, 803.220, 223.117,  13.943, 435.785, 121.052, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:04:655, 45416299565561,   37.166,   17.000, 3900,  26.139, 805.892, 223.859,  14.468, 437.264, 121.462, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:04:778, 45416655456255,   37.288,   16.000, 4000,  25.744, 809.047, 224.735,  13.917, 438.970, 121.936, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:04:900, 45417011740560,   37.411,   16.000, 4000,  25.833, 812.216, 225.616,  14.031, 440.691, 122.414, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:05:023, 45417367787309,   37.534,   18.000, 4000,  26.182, 815.427, 226.507,  14.572, 442.478, 122.910, 49,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:05:125, 45417664474584,   37.636,   16.000, 4000,  25.646, 818.047, 227.235,  13.951, 443.903, 123.306, 49,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:05:227, 45417961566362,   37.738,   16.000, 4000,  25.865, 820.693, 227.970,  13.958, 445.331, 123.703, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:05:350, 45418317667995,   37.861,   16.000, 3900,  25.488, 823.818, 228.838,  13.888, 447.034, 124.176, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:05:452, 45418614687243,   37.963,   16.000, 4000,  25.918, 826.469, 229.575,  13.991, 448.465, 124.574, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:05:575, 45418970885262,   38.086,   16.000, 3900,  25.470, 829.593, 230.443,  13.877, 450.167, 125.046, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:05:698, 45419327145173,   38.208,   16.000, 4000,  25.647, 832.740, 231.317,  13.856, 451.867, 125.519, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:05:820, 45419683331260,   38.331,   16.000, 4000,  25.717, 835.894, 232.193,  13.897, 453.572, 125.992, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:05:922, 45419980197988,   38.433,   16.000, 4000,  25.566, 838.507, 232.919,  13.902, 454.993, 126.387, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:06:044, 45420333494233,   38.555,   24.000, 3900,  29.079, 842.045, 233.901,  17.446, 457.115, 126.977, 47,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:06:167, 45420689433657,   38.677,   16.000, 3900,  26.305, 845.269, 234.797,  14.490, 458.891, 127.470, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:06:289, 45421045929672,   38.800,   16.000, 4000,  25.806, 848.437, 235.677,  14.009, 460.611, 127.948, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:06:412, 45421402180415,   38.923,   16.000, 4000,  25.550, 851.571, 236.548,  13.951, 462.323, 128.423, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:06:514, 45421698699569,   39.025,   16.000, 3900,  25.950, 854.221, 237.284,  14.011, 463.753, 128.820, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:06:637, 45422054949938,   39.148,   16.000, 4000,  25.607, 857.362, 238.156,  14.014, 465.473, 129.298, 49,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:06:760, 45422411449663,   39.270,   16.000, 4000,  25.754, 860.524, 239.034,  13.972, 467.188, 129.774, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:06:882, 45422766829615,   39.393,   16.000, 4000,  25.688, 863.668, 239.908,  14.036, 468.906, 130.252, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:06:984, 45423063624103,   39.495,   25.000, 3900,  26.679, 866.394, 240.665,  14.714, 470.409, 130.669, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:07:086, 45423360736107,   39.597,   16.000, 3900,  25.767, 869.031, 241.397,  14.124, 471.854, 131.071, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:07:209, 45423716821796,   39.720,   16.000, 4000,  25.831, 872.198, 242.277,  14.015, 473.573, 131.548, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:07:311, 45424012132656,   39.822,   18.000, 4000,  26.644, 874.907, 243.030,  15.102, 475.109, 131.975, 46,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:07:433, 45424368078441,   39.944,   16.000, 4000,  25.830, 878.073, 243.909,  13.995, 476.824, 132.451, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:07:555, 45424722377270,   40.066,   16.000, 4000,  26.650, 881.325, 244.812,  14.926, 478.645, 132.957, 49,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:07:678, 45425078819171,   40.189,   16.000, 4000,  26.538, 884.582, 245.717,  14.741, 480.454, 133.460, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:07:780, 45425375668687,   40.291,   16.000, 4000,  25.587, 887.198, 246.444,  13.919, 481.877, 133.855, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:07:903, 45425731971055,   40.414,   16.000, 4000,  25.494, 890.326, 247.313,  13.906, 483.583, 134.329, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:08:025, 45426086748399,   40.536,   21.000, 4000,  27.148, 893.642, 248.234,  15.231, 485.444, 134.846, 49,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:08:148, 45426442427536,   40.658,   16.000, 3900,  25.631, 896.781, 249.106,  13.998, 487.158, 135.322, 47,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:08:250, 45426739980187,   40.761,   17.000, 4000,  26.231, 899.469, 249.853,  14.349, 488.629, 135.730, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:08:352, 45427036683897,   40.863,   16.000, 3900,  25.542, 902.079, 250.577,  13.866, 490.045, 136.124, 47,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:08:475, 45427393255554,   40.986,   16.000, 4000,  25.506, 905.211, 251.447,  13.930, 491.756, 136.599, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:08:577, 45427690241923,   41.088,   16.000, 4000,  25.779, 907.847, 252.180,  13.866, 493.174, 136.993, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:08:700, 45428046201103,   41.211,   16.000, 4000,  25.489, 910.971, 253.048,  13.873, 494.874, 137.465, 49,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:08:823, 45428402476249,   41.333,   16.000, 4000,  25.790, 914.135, 253.926,  13.998, 496.592, 137.942, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:08:945, 45428758607568,   41.456,   16.000, 3900,  25.670, 917.283, 254.801,  13.862, 498.292, 138.414, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:09:047, 45429055022492,   41.558,   20.000, 4000,  26.557, 919.994, 255.554,  14.828, 499.805, 138.835, 49,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:09:150, 45429351790213,   41.660,   16.000, 4000,  25.644, 922.615, 256.282,  13.972, 501.233, 139.231, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:09:272, 45429708168674,   41.783,   16.000, 4000,  25.843, 925.786, 257.163,  14.045, 502.957, 139.710, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:09:375, 45430005152302,   41.885,   16.000, 3900,  25.585, 928.403, 257.890,  13.914, 504.380, 140.105, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:09:477, 45430302053554,   41.988,   16.000, 3900,  25.558, 931.016, 258.615,  13.884, 505.799, 140.500, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:09:600, 45430658819962,   42.110,   16.000, 4000,  25.733, 934.177, 259.494,  13.970, 507.515, 140.976, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:09:702, 45430955815481,   42.213,   16.000, 4000,  25.580, 936.793, 260.220,  13.920, 508.939, 141.372, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:09:825, 45431312214719,   42.335,   16.000, 4000,  25.836, 939.964, 261.101,  14.032, 510.661, 141.850, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:09:947, 45431668477701,   42.458,   16.000, 3900,  25.690, 943.115, 261.977,  13.899, 512.366, 142.324, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:10:070, 45432024577690,   42.581,   19.000, 4000,  26.326, 946.344, 262.873,  14.718, 514.171, 142.825, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:10:172, 45432321386445,   42.683,   17.000, 4000,  26.133, 949.015, 263.615,  14.438, 515.647, 143.235, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:10:274, 45432618269652,   42.785,   16.000, 3900,  25.769, 951.649, 264.347,  13.861, 517.064, 143.629, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:10:397, 45432974524684,   42.908,   16.000, 4000,  25.650, 954.796, 265.221,  14.069, 518.789, 144.108, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:10:499, 45433271280033,   43.010,   16.000, 4000,  25.829, 957.435, 265.954,  13.877, 520.208, 144.502, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:10:622, 45433627555650,   43.133,   16.000, 4000,  25.588, 960.574, 266.826,  14.008, 521.926, 144.979, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:10:745, 45433983654814,   43.255,   16.000, 4000,  25.749, 963.732, 267.703,  13.926, 523.634, 145.454, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:10:867, 45434339881317,   43.378,   16.000, 4000,  25.695, 966.884, 268.579,  13.901, 525.339, 145.927, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:10:970, 45434637058682,   43.480,   16.000, 4000,  25.678, 969.511, 269.309,  14.022, 526.774, 146.326, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:11:072, 45434934488840,   43.583,   21.000, 3900,  26.441, 972.220, 270.061,  14.818, 528.291, 146.748, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:11:194, 45435290380227,   43.705,   16.000, 3900,  25.875, 975.391, 270.942,  14.045, 530.013, 147.226, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:11:297, 45435587563455,   43.808,   16.000, 4000,  25.619, 978.012, 271.670,  13.965, 531.442, 147.623, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:11:399, 45435884534576,   43.910,   16.000, 4000,  25.826, 980.653, 272.404,  13.905, 532.864, 148.018, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:11:522, 45436240906190,   44.033,   16.000, 4000,  25.582, 983.793, 273.276,  14.002, 534.582, 148.495, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:11:624, 45436538014608,   44.135,   16.000, 4000,  25.851, 986.438, 274.010,  13.935, 536.008, 148.891, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:11:747, 45436894230632,   44.258,   16.000, 4000,  25.562, 989.573, 274.881,  13.958, 537.720, 149.367, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:11:870, 45437250995254,   44.380,   16.000, 4000,  25.695, 992.730, 275.758,  13.935, 539.432, 149.842, 49,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:11:992, 45437607431451,   44.503,   16.000, 3900,  25.758, 995.891, 276.636,  13.971, 541.147, 150.319, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:12:115, 45437964106965,   44.626,   18.000, 4000,  26.636, 999.163, 277.545,  14.868, 542.973, 150.826, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:12:217, 45438260570160,   44.728,   16.000, 4000,  25.722,1001.789, 278.275,  14.017, 544.404, 151.223, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:12:340, 45438617716638,   44.851,   16.000, 4000,  25.689,1004.948, 279.152,  13.952, 546.120, 151.700, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:12:463, 45438974147459,   44.974,   16.000, 3900,  25.505,1008.078, 280.022,  13.921, 547.828, 152.175, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:12:586, 45439329999294,   45.096,   16.000, 3900,  25.933,1011.256, 280.905,  14.106, 549.557, 152.655, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:12:688, 45439627220317,   45.199,   16.000, 4000,  25.572,1013.874, 281.632,  13.917, 550.981, 153.050, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:12:790, 45439924103907,   45.301,   16.000, 4000,  25.855,1016.517, 282.366,  13.933, 552.406, 153.446, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:12:911, 45440276276407,   45.422,   16.000, 4000,  27.006,1019.792, 283.276,  15.337, 554.266, 153.963, 50,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:13:014, 45440572964657,   45.524,   16.000, 3900,  26.185,1022.467, 284.019,  14.490, 555.746, 154.374, 49,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:13:136, 45440928156351,   45.647,   18.000, 4000,  26.875,1025.754, 284.932,  15.212, 557.607, 154.891, 47,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:13:258, 45441283975698,   45.769,   17.000, 4000,  26.120,1028.955, 285.821,  14.277, 559.356, 155.377, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:13:381, 45441640221778,   45.892,   16.000, 3900,  25.587,1032.093, 286.693,  13.986, 561.072, 155.853, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:13:483, 45441936927625,   45.994,   16.000, 4000,  25.864,1034.736, 287.427,  13.932, 562.495, 156.249, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:13:606, 45442293191755,   46.117,   16.000, 3900,  25.433,1037.856, 288.293,  13.839, 564.193, 156.720, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:13:729, 45442649737559,   46.239,   16.000, 4000,  25.856,1041.031, 289.175,  14.072, 565.921, 157.200, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:13:851, 45443005559740,   46.362,   16.000, 3900,  25.777,1044.189, 290.053,  13.946, 567.629, 157.675, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:13:953, 45443301951422,   46.464,   16.000, 3900,  27.570,1047.003, 290.834,  15.849, 569.247, 158.124, 49,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:14:076, 45443657927108,   46.587,   20.000, 4000,  26.869,1050.297, 291.749,  15.257, 571.117, 158.644, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:14:198, 45444012930195,   46.709,   16.000, 4000,  27.444,1053.651, 292.681,  15.540, 573.017, 159.171, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:14:321, 45444368702321,   46.831,   16.000, 4000,  27.156,1056.978, 293.605,  15.539, 574.921, 159.700, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:14:443, 45444724446620,   46.954,   16.000, 3900,  27.292,1060.322, 294.534,  15.450, 576.813, 160.226, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:14:545, 45445020709994,   47.056,   16.000, 4000,  27.233,1063.100, 295.306,  15.501, 578.395, 160.665, 49,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:14:668, 45445376383236,   47.178,   17.000, 4000,  27.447,1066.462, 296.239,  15.835, 580.334, 161.204, 49,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:14:790, 45445731796819,   47.301,   16.000, 4000,  27.191,1069.789, 297.164,  15.530, 582.235, 161.732, 49,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:14:913, 45446087308433,   47.423,   16.000, 4000,  27.326,1073.135, 298.093,  15.463, 584.128, 162.258, 49,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:15:015, 45446383535370,   47.525,   16.000, 4000,  27.194,1075.909, 298.864,  15.481, 585.707, 162.696, 49,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:15:137, 45446739227651,   47.648,   18.000, 4000,  27.701,1079.302, 299.806,  16.073, 587.676, 163.243, 49,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:15:259, 45447094683543,   47.770,   16.000, 4000,  27.427,1082.659, 300.739,  15.563, 589.580, 163.772, 49,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:15:382, 45447450574523,   47.893,   16.000, 4000,  27.158,1085.987, 301.663,  15.548, 591.486, 164.302, 49,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:15:484, 45447746920929,   47.995,   16.000, 3900,  27.216,1088.764, 302.435,  15.496, 593.067, 164.741, 49,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:15:586, 45448043293906,   48.097,   16.000, 4000,  27.122,1091.532, 303.203,  15.409, 594.640, 165.178, 49,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:15:708, 45448398640007,   48.219,   16.000, 4000,  27.326,1094.876, 304.132,  15.449, 596.530, 165.703, 49,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:15:811, 45448695282486,   48.321,   16.000, 4000,  27.105,1097.645, 304.901,  15.401, 598.103, 166.140, 49,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:15:933, 45449050717406,   48.444,   16.000, 4000,  27.174,1100.971, 305.825,  15.543, 600.006, 166.668, 49,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:16:057, 45449433222982,   48.575,   33.000, 4000,  27.756,1104.627, 306.841,  15.997, 602.113, 167.254, 45,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:16:178, 45449762148851,   48.689,   17.000, 4000,  25.816,1107.551, 307.653,  14.085, 603.708, 167.697, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:16:280, 45450059025391,   48.791,   16.000, 3900,  25.834,1110.192, 308.387,  13.916, 605.131, 168.092, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:16:403, 45450415331993,   48.914,   16.000, 3900,  25.513,1113.322, 309.256,  13.917, 606.839, 168.566, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:16:525, 45450771263054,   49.036,   16.000, 4000,  25.863,1116.492, 310.137,  14.043, 608.560, 169.044, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:16:648, 45451127504097,   49.159,   16.000, 3900,  25.404,1119.608, 311.002,  13.805, 610.253, 169.515, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:16:750, 45451423868679,   49.261,   16.000, 4000,  25.722,1122.233, 311.731,  14.004, 611.682, 169.912, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:16:853, 45451721429136,   49.363,   16.000, 4000,  25.808,1124.878, 312.466,  13.948, 613.112, 170.309, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:16:975, 45452077570695,   49.486,   16.000, 3900,  25.845,1128.047, 313.346,  14.032, 614.832, 170.787, 49,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:17:079, 45452401400404,   49.597,   33.000, 4000,  26.280,1130.978, 314.161,  14.704, 616.472, 171.242, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:17:200, 45452730393690,   49.711,   17.000, 4000,  25.841,1133.905, 314.974,  14.131, 618.073, 171.687, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:17:323, 45453086622901,   49.833,   16.000, 4000,  25.750,1137.064, 315.851,  13.947, 619.784, 172.162, 49,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:17:446, 45453443348487,   49.956,   16.000, 4000,  25.684,1140.219, 316.728,  13.919, 621.494, 172.637, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:17:568, 45453799538272,   50.079,   16.000, 4000,  25.872,1143.392, 317.609,  14.050, 623.217, 173.116, 49,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:17:670, 45454096525431,   50.181,   16.000, 4000,  25.556,1146.006, 318.335,  13.896, 624.638, 173.511, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:17:793, 45454452900740,   50.304,   16.000, 3900,  25.776,1149.169, 319.214,  13.981, 626.354, 173.987, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:17:916, 45454809342169,   50.427,   16.000, 4000,  25.497,1152.299, 320.083,  13.926, 628.063, 174.462, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:18:039, 45455165450045,   50.549,   16.000, 4000,  25.763,1155.458, 320.961,  13.955, 629.775, 174.937, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:11:18:141, 45455462218832,   50.651,   21.000, 3900,  27.342,1158.252, 321.737,  15.660, 631.375, 175.382, 48,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
