Epoch,Batch,Num trials,Number correct,Input Recurrent rewired,Input Recurrent Inh rewired,Recurrent Recurrent rewired
0,0,512,23,20,4,37
0,1,512,33,25,4,67
0,2,512,35,26,13,106
0,3,512,21,26,7,128
0,4,512,18,30,9,155
0,5,512,31,26,12,198
0,6,512,36,28,12,229
0,7,512,34,22,9,250
0,8,512,21,16,11,278
0,9,512,26,18,8,304
0,10,512,26,17,7,319
0,11,512,33,21,6,345
0,12,512,38,18,5,357
0,13,512,26,19,5,383
0,14,512,25,19,7,395
0,15,476,28,16,7,404
1,0,512,33,16,7,442
1,1,512,31,23,6,465
1,2,512,30,28,12,465
1,3,512,21,21,11,474
1,4,512,27,11,14,489
1,5,512,29,15,11,497
1,6,512,30,15,9,494
1,7,512,41,11,6,506
1,8,512,31,10,10,510
1,9,512,43,13,7,491
1,10,512,29,9,9,500
1,11,512,35,10,9,488
1,12,512,32,8,8,478
1,13,512,32,13,7,471
1,14,512,32,18,6,467
1,15,476,26,20,8,457
2,0,512,46,9,9,463
2,1,512,56,10,9,447
2,2,512,40,10,9,437
2,3,512,38,9,11,438
2,4,512,53,19,11,417
2,5,512,40,18,14,420
2,6,512,47,22,12,419
2,7,512,68,14,13,413
2,8,512,55,9,16,411
2,9,512,48,6,16,414
2,10,512,60,8,12,413
2,11,512,49,6,12,390
2,12,512,49,12,11,383
2,13,512,55,17,13,393
2,14,512,66,12,15,377
2,15,476,65,9,17,356
3,0,512,71,6,15,361
3,1,512,90,10,12,352
3,2,512,70,11,10,342
3,3,512,90,6,12,336
3,4,512,80,13,8,322
3,5,512,82,7,10,316
3,6,512,60,11,8,318
3,7,512,74,8,7,315
3,8,512,78,11,7,312
3,9,512,76,15,9,307
3,10,512,81,9,7,288
3,11,512,77,12,8,268
3,12,512,81,10,8,262
3,13,512,88,9,7,268
3,14,512,90,9,10,251
3,15,476,91,9,9,250
4,0,512,97,9,9,245
4,1,512,96,7,7,231
4,2,512,106,8,8,221
4,3,512,91,8,5,214
4,4,512,104,4,4,214
4,5,512,117,4,5,203
4,6,512,90,1,5,198
4,7,512,112,2,9,190
4,8,512,105,3,6,174
4,9,512,108,4,9,172
4,10,512,113,6,12,164
4,11,512,104,8,10,161
4,12,512,101,7,6,162
4,13,512,112,9,7,162
4,14,512,122,9,8,159
4,15,476,109,9,10,158
5,0,512,118,3,8,146
5,1,512,127,5,4,133
5,2,512,123,9,8,150
5,3,512,130,15,4,143
5,4,512,112,8,4,162
5,5,512,129,6,2,168
5,6,512,124,10,5,151
5,7,512,118,7,3,154
5,8,512,126,10,6,147
5,9,512,112,9,5,159
5,10,512,102,10,4,152
5,11,512,109,10,6,149
5,12,512,133,7,7,134
5,13,512,119,4,9,142
5,14,512,124,5,15,135
5,15,476,116,4,13,138
6,0,512,137,7,9,136
6,1,512,148,7,11,140
6,2,512,145,9,11,147
6,3,512,130,11,5,142
6,4,512,139,9,6,141
6,5,512,133,10,11,137
6,6,512,165,8,12,126
6,7,512,135,12,14,123
6,8,512,138,11,13,123
6,9,512,142,6,10,117
6,10,512,146,7,9,126
6,11,512,144,9,6,119
6,12,512,156,11,4,114
6,13,512,144,13,4,119
6,14,512,149,8,6,104
6,15,476,132,8,4,100
7,0,512,155,8,5,94
7,1,512,157,10,4,94
7,2,512,149,9,7,95
7,3,512,163,8,9,92
7,4,512,152,5,6,94
7,5,512,160,7,4,85
7,6,512,149,9,6,76
7,7,512,161,4,4,72
7,8,512,149,6,6,83
7,9,512,140,8,6,95
7,10,512,160,1,6,101
7,11,512,186,7,6,98
7,12,512,160,4,4,90
7,13,512,161,2,5,92
7,14,512,171,4,4,82
7,15,476,159,6,3,72
8,0,512,172,5,5,84
8,1,512,181,6,5,90
8,2,512,163,12,3,92
8,3,512,166,13,4,88
8,4,512,173,7,7,85
8,5,512,175,13,4,82
8,6,512,160,15,3,85
8,7,512,156,10,1,93
8,8,512,152,7,2,88
8,9,512,178,10,3,87
8,10,512,183,11,4,67
8,11,512,168,8,3,68
8,12,512,182,3,4,67
8,13,512,174,7,2,80
8,14,512,164,9,3,71
8,15,476,177,10,1,71
9,0,512,163,13,2,72
9,1,512,181,10,5,65
9,2,512,191,9,6,57
9,3,512,171,10,6,58
9,4,512,166,7,4,75
9,5,512,170,8,3,73
9,6,512,182,8,3,69
9,7,512,167,8,2,62
9,8,512,176,8,0,51
9,9,512,178,2,1,54
9,10,512,181,4,4,58
9,11,512,175,3,3,43
9,12,512,183,2,1,50
9,13,512,156,2,1,50
9,14,512,165,4,1,52
9,15,476,183,5,1,56
10,0,512,187,5,2,56
10,1,512,203,6,4,53
10,2,512,189,4,3,56
10,3,512,204,5,5,50
10,4,512,182,6,6,59
10,5,512,186,3,3,54
10,6,512,188,4,3,58
10,7,512,191,5,4,62
10,8,512,199,4,3,63
10,9,512,200,3,1,61
10,10,512,179,1,2,55
10,11,512,169,0,4,48
10,12,512,184,0,2,43
10,13,512,185,4,4,49
10,14,512,187,6,3,46
10,15,476,194,8,2,50
11,0,512,207,5,2,46
11,1,512,190,2,7,45
11,2,512,201,2,7,50
11,3,512,196,3,6,47
11,4,512,195,8,5,42
11,5,512,199,10,2,53
11,6,512,197,10,2,49
11,7,512,199,7,3,39
11,8,512,197,7,3,30
11,9,512,210,5,3,30
11,10,512,212,10,3,28
11,11,512,219,9,4,34
11,12,512,225,7,3,39
11,13,512,218,4,2,35
11,14,512,202,7,1,28
11,15,476,178,7,0,36
12,0,512,191,4,2,38
12,1,512,209,7,2,36
12,2,512,216,5,2,43
12,3,512,203,3,3,42
12,4,512,215,1,2,36
12,5,512,215,5,1,42
12,6,512,196,4,0,38
12,7,512,199,9,0,35
12,8,512,191,6,1,40
12,9,512,224,3,2,38
12,10,512,202,4,1,33
12,11,512,211,6,3,31
12,12,512,207,3,2,35
12,13,512,209,4,4,32
12,14,512,231,6,4,39
12,15,476,187,7,2,36
13,0,512,229,4,1,46
13,1,512,218,4,3,48
13,2,512,216,3,1,36
13,3,512,203,3,1,37
13,4,512,207,3,1,43
13,5,512,217,2,1,38
13,6,512,198,0,2,33
13,7,512,223,5,1,43
13,8,512,197,3,0,46
13,9,512,203,3,1,36
13,10,512,197,3,2,29
13,11,512,223,4,1,30
13,12,512,232,3,3,32
13,13,512,233,4,4,28
13,14,512,209,5,1,32
13,15,476,214,5,1,29
14,0,512,232,3,1,35
14,1,512,191,5,1,31
14,2,512,250,7,2,27
14,3,512,227,4,2,28
14,4,512,225,2,2,30
14,5,512,234,3,2,37
14,6,512,234,3,3,33
14,7,512,231,2,1,34
14,8,512,217,4,2,38
14,9,512,221,5,1,31
14,10,512,207,6,1,33
14,11,512,220,8,1,41
14,12,512,201,7,1,38
14,13,512,232,3,1,27
14,14,512,236,5,2,27
14,15,476,216,5,1,30
15,0,512,232,5,1,37
15,1,512,227,5,2,34
15,2,512,238,3,1,38
15,3,512,244,3,3,33
15,4,512,212,2,1,29
15,5,512,229,2,1,27
15,6,512,228,3,1,34
15,7,512,225,2,3,30
15,8,512,238,3,4,27
15,9,512,229,3,3,37
15,10,512,231,3,2,34
15,11,512,241,2,3,43
15,12,512,234,3,4,45
15,13,512,239,7,3,39
15,14,512,214,4,3,40
15,15,476,210,4,3,44
16,0,512,249,5,2,43
16,1,512,223,6,0,40
16,2,512,259,7,1,42
16,3,512,252,4,2,37
16,4,512,246,6,2,34
16,5,512,234,5,2,36
16,6,512,238,4,2,37
16,7,512,219,5,4,36
16,8,512,236,5,1,36
16,9,512,225,6,0,33
16,10,512,244,2,0,34
16,11,512,222,1,0,34
16,12,512,245,1,2,37
16,13,512,232,4,5,32
16,14,512,256,5,2,31
16,15,476,227,5,1,35
17,0,512,263,3,2,27
17,1,512,251,5,2,32
17,2,512,239,5,2,35
17,3,512,235,5,1,33
17,4,512,214,3,2,32
17,5,512,242,1,3,30
17,6,512,221,2,2,29
17,7,512,242,3,0,30
17,8,512,262,4,2,27
17,9,512,227,1,2,24
17,10,512,241,1,1,32
17,11,512,245,4,0,29
17,12,512,267,3,0,30
17,13,512,247,5,0,31
17,14,512,259,4,0,32
17,15,476,230,6,0,37
18,0,512,246,5,0,30
18,1,512,244,3,0,19
18,2,512,243,6,1,17
18,3,512,243,4,1,21
18,4,512,248,1,1,22
18,5,512,278,1,1,29
18,6,512,268,2,1,25
18,7,512,280,2,1,22
18,8,512,258,2,0,27
18,9,512,262,0,1,29
18,10,512,242,4,2,28
18,11,512,256,1,2,29
18,12,512,262,3,0,26
18,13,512,270,3,1,29
18,14,512,239,3,1,32
18,15,476,220,2,2,30
19,0,512,262,2,2,23
19,1,512,241,2,2,24
19,2,512,257,1,2,32
19,3,512,243,4,1,35
19,4,512,234,0,2,33
19,5,512,250,2,2,32
19,6,512,279,1,3,30
19,7,512,257,2,1,28
19,8,512,266,0,1,26
19,9,512,253,0,1,32
19,10,512,247,4,2,35
19,11,512,255,4,2,31
19,12,512,256,2,2,27
19,13,512,248,1,0,33
19,14,512,233,1,0,33
19,15,476,221,3,1,20
20,0,512,265,4,1,24
20,1,512,261,6,1,20
20,2,512,248,3,2,18
20,3,512,254,2,2,23
20,4,512,257,1,1,21
20,5,512,255,2,0,24
20,6,512,263,3,0,24
20,7,512,242,2,1,18
20,8,512,261,0,0,20
20,9,512,263,3,0,20
20,10,512,256,4,0,24
20,11,512,271,4,1,20
20,12,512,273,2,0,30
20,13,512,270,2,0,32
20,14,512,290,5,1,21
20,15,476,251,4,0,23
21,0,512,267,4,0,25
21,1,512,269,5,1,27
21,2,512,257,5,2,23
21,3,512,262,6,1,27
21,4,512,251,4,0,26
21,5,512,242,5,0,30
21,6,512,288,4,0,27
21,7,512,276,5,1,23
21,8,512,279,4,1,26
21,9,512,260,0,0,24
21,10,512,258,1,2,17
21,11,512,280,2,1,21
21,12,512,283,4,1,18
21,13,512,282,3,2,23
21,14,512,284,2,0,20
21,15,476,266,1,1,21
22,0,512,250,2,0,26
22,1,512,284,4,1,30
22,2,512,276,3,1,23
22,3,512,295,2,1,27
22,4,512,267,1,1,27
22,5,512,285,2,1,28
22,6,512,270,2,0,32
22,7,512,278,2,0,33
22,8,512,254,2,0,29
22,9,512,273,1,1,28
22,10,512,272,4,1,32
22,11,512,283,4,1,30
22,12,512,264,5,0,26
22,13,512,293,1,0,28
22,14,512,282,2,1,19
22,15,476,244,2,1,22
23,0,512,290,1,0,28
23,1,512,287,2,0,33
23,2,512,282,1,0,25
