Epoch,Batch,Num trials,Number correct,Input Recurrent rewired,Input Recurrent Inh rewired,Recurrent Recurrent rewired
0,0,512,33,102,106,59
0,1,512,32,150,138,90
0,2,512,32,151,140,118
0,3,512,37,142,154,130
0,4,512,36,135,170,146
0,5,512,45,117,180,142
0,6,512,45,105,190,149
0,7,512,52,99,220,164
0,8,512,68,100,233,162
0,9,512,54,105,229,163
0,10,512,40,100,217,160
0,11,512,65,71,231,163
0,12,512,64,99,250,188
0,13,512,71,102,280,192
0,14,512,85,97,268,208
0,15,476,70,85,255,207
1,0,512,88,80,273,202
1,1,512,103,81,247,204
1,2,512,94,61,257,197
1,3,512,88,80,258,193
1,4,512,96,92,266,184
1,5,512,84,78,275,184
1,6,512,85,81,265,190
1,7,512,116,72,292,193
1,8,512,85,75,272,201
1,9,512,90,67,242,212
1,10,512,110,73,266,206
1,11,512,126,83,264,203
1,12,512,111,76,248,206
1,13,512,128,67,270,190
1,14,512,120,64,273,182
1,15,476,119,58,280,188
2,0,512,127,48,284,177
2,1,512,137,60,270,184
2,2,512,137,61,274,168
2,3,512,131,67,252,197
2,4,512,150,58,233,197
2,5,512,150,60,230,194
2,6,512,136,77,233,173
2,7,512,159,78,228,179
2,8,512,162,73,220,181
2,9,512,153,71,226,183
2,10,512,164,71,233,172
2,11,512,160,70,253,164
2,12,512,161,53,263,167
2,13,512,158,56,247,176
2,14,512,155,66,246,175
2,15,476,163,72,234,169
3,0,512,172,55,221,164
3,1,512,158,61,243,161
3,2,512,158,66,243,172
3,3,512,162,77,236,184
3,4,512,170,65,229,186
3,5,512,194,53,236,181
3,6,512,215,48,222,183
3,7,512,170,52,195,198
3,8,512,192,42,192,181
3,9,512,197,55,217,176
3,10,512,167,57,227,170
3,11,512,183,53,219,176
3,12,512,195,50,226,163
3,13,512,178,40,219,159
3,14,512,202,52,196,171
3,15,476,172,74,178,162
4,0,512,185,56,184,161
4,1,512,205,53,191,156
4,2,512,202,56,184,146
4,3,512,208,67,195,145
4,4,512,189,68,170,145
4,5,512,186,60,183,142
4,6,512,197,74,163,139
4,7,512,210,71,156,135
