Batch,Num trials,Number correct
0,512,322
1,512,389
2,512,412
3,512,416
4,512,391
5,512,404
6,512,397
7,512,415
8,512,402
9,512,415
10,512,416
11,512,429
12,512,393
13,512,401
14,512,421
15,512,399
16,512,399
17,512,417
18,512,407
19,272,207
