Batch,Num trials,Number correct
0,512,291
1,512,401
2,512,404
3,512,400
4,512,393
5,512,419
6,512,417
7,512,399
8,512,396
9,512,410
10,512,403
11,512,383
12,512,397
13,512,405
14,512,395
15,512,384
16,512,404
17,512,401
18,512,400
19,272,221
