Epoch,Batch,Num trials,Number correct,Input Recurrent rewired,Input Recurrent Inh rewired,Recurrent Recurrent rewired
0,0,512,40,106,105,36
0,1,512,31,151,131,52
0,2,512,28,136,153,83
0,3,512,32,138,147,82
0,4,512,37,124,153,90
0,5,512,36,116,163,80
0,6,512,32,111,176,88
0,7,512,37,117,200,102
0,8,512,50,98,205,100
0,9,512,42,109,206,91
0,10,512,29,119,216,106
0,11,512,40,80,236,112
0,12,512,48,87,242,128
0,13,512,58,77,262,131
0,14,512,69,82,286,138
0,15,476,65,90,293,144
1,0,512,91,77,299,133
1,1,512,74,63,302,126
1,2,512,79,66,293,125
1,3,512,78,69,320,120
1,4,512,73,87,297,143
1,5,512,80,87,289,145
1,6,512,80,88,303,142
1,7,512,86,74,313,137
1,8,512,93,67,309,134
1,9,512,81,73,311,126
1,10,512,92,87,305,131
1,11,512,96,72,336,143
1,12,512,113,68,325,149
1,13,512,112,59,316,136
1,14,512,107,63,313,136
1,15,476,115,72,303,138
2,0,512,116,84,289,148
2,1,512,107,83,285,136
2,2,512,146,69,286,130
2,3,512,99,56,280,129
2,4,512,112,70,307,137
2,5,512,108,64,310,138
2,6,512,137,61,295,134
2,7,512,97,55,293,130
2,8,512,123,61,278,146
2,9,512,139,77,276,138
2,10,512,120,80,287,131
2,11,512,124,96,280,127
2,12,512,145,88,263,132
2,13,512,129,64,274,120
2,14,512,141,69,265,117
2,15,476,131,78,280,117
3,0,512,140,71,277,115
3,1,512,142,58,236,128
3,2,512,186,57,219,114
3,3,512,172,73,239,102
3,4,512,152,57,248,116
3,5,512,152,56,262,109
3,6,512,166,59,258,110
3,7,512,135,55,254,95
3,8,512,133,63,209,100
3,9,512,147,55,198,103
3,10,512,164,56,194,99
3,11,512,160,52,198,97
3,12,512,178,59,204,113
3,13,512,166,62,209,99
3,14,512,160,51,205,103
3,15,476,147,56,224,97
4,0,512,174,65,221,91
4,1,512,172,58,201,85
4,2,512,186,62,208,81
4,3,512,184,67,201,87
4,4,512,202,51,193,73
4,5,512,206,63,175,81
4,6,512,211,66,189,83
4,7,512,191,53,214,79
4,8,512,190,53,199,75
4,9,512,192,55,198,78
4,10,512,197,59,185,77
4,11,512,220,48,180,74
4,12,512,204,49,162,83
4,13,512,206,67,174,89
4,14,512,190,58,161,86
4,15,476,184,55,154,77
5,0,512,206,60,153,80
5,1,512,200,64,147,84
5,2,512,207,55,142,88
5,3,512,216,57,130,76
5,4,512,216,50,151,74
5,5,512,234,57,156,65
5,6,512,223,64,147,78
5,7,512,207,58,158,69
5,8,512,220,56,156,60
5,9,512,219,49,165,64
5,10,512,215,45,149,60
5,11,512,232,50,152,59
5,12,512,213,72,141,65
5,13,512,219,75,153,78
5,14,512,204,79,113,63
5,15,476,179,56,110,65
6,0,512,211,62,124,65
6,1,512,233,62,138,70
6,2,512,229,66,136,63
6,3,512,233,55,139,63
6,4,512,243,64,144,62
6,5,512,259,65,134,50
6,6,512,229,70,120,63
6,7,512,245,71,119,64
6,8,512,261,58,123,64
6,9,512,246,54,108,57
6,10,512,232,43,133,61
6,11,512,265,37,135,69
6,12,512,236,43,127,65
6,13,512,234,56,129,72
6,14,512,258,40,117,72
6,15,476,229,45,132,49
7,0,512,262,31,131,51
7,1,512,260,51,127,51
7,2,512,246,50,111,51
7,3,512,232,43,114,50
7,4,512,237,50,113,55
7,5,512,238,54,122,57
7,6,512,234,57,99,52
7,7,512,246,49,100,40
7,8,512,259,45,107,38
7,9,512,282,53,100,46
7,10,512,282,50,98,52
7,11,512,274,55,84,37
7,12,512,252,61,82,40
7,13,512,269,50,73,38
7,14,512,285,48,78,41
7,15,476,246,43,76,43
8,0,512,266,43,76,44
8,1,512,273,52,93,45
8,2,512,254,42,114,47
8,3,512,257,49,92,42
8,4,512,248,54,99,30
8,5,512,273,50,97,38
8,6,512,279,54,95,38
8,7,512,279,53,74,44
8,8,512,286,44,69,37
8,9,512,283,41,91,33
8,10,512,270,42,86,33
8,11,512,277,51,85,38
8,12,512,277,44,87,47
8,13,512,293,50,86,44
8,14,512,303,49,72,39
8,15,476,274,57,77,41
9,0,512,302,49,88,34
9,1,512,289,46,90,35
9,2,512,281,44,82,39
9,3,512,261,48,94,45
9,4,512,298,45,90,43
9,5,512,273,42,88,32
9,6,512,291,38,87,36
9,7,512,286,37,76,28
9,8,512,280,44,89,30
9,9,512,295,53,83,35
9,10,512,272,47,85,27
9,11,512,312,33,90,25
9,12,512,299,28,81,27
9,13,512,315,43,75,30
9,14,512,307,40,87,29
9,15,476,316,28,80,25
10,0,512,313,41,87,22
10,1,512,327,34,73,29
10,2,512,312,27,66,31
10,3,512,327,29,84,30
10,4,512,294,25,74,28
10,5,512,297,31,64,30
10,6,512,316,39,71,33
10,7,512,324,39,64,37
10,8,512,310,48,66,37
10,9,512,303,52,72,44
10,10,512,302,39,84,37
10,11,512,302,32,74,33
10,12,512,303,36,72,28
10,13,512,297,41,62,22
10,14,512,294,39,67,26
10,15,476,285,22,63,33
11,0,512,318,29,65,31
11,1,512,314,34,74,25
11,2,512,314,39,75,23
11,3,512,336,36,75,25
11,4,512,313,36,71,23
11,5,512,310,43,75,25
11,6,512,321,38,79,22
11,7,512,291,46,78,28
11,8,512,314,41,83,26
11,9,512,311,36,73,24
11,10,512,306,36,61,32
11,11,512,301,42,73,26
11,12,512,310,42,70,25
11,13,512,302,40,60,18
11,14,512,313,21,60,15
11,15,476,285,22,60,15
12,0,512,316,28,64,17
12,1,512,335,37,70,22
12,2,512,329,35,70,24
12,3,512,331,40,70,20
12,4,512,287,31,51,23
12,5,512,304,26,59,23
12,6,512,318,35,69,25
12,7,512,324,38,55,30
12,8,512,308,35,53,20
12,9,512,306,27,62,25
12,10,512,308,30,67,25
12,11,512,308,26,65,20
12,12,512,297,24,50,20
12,13,512,308,31,61,18
12,14,512,328,30,66,22
12,15,476,313,27,64,22
13,0,512,332,32,63,18
13,1,512,335,37,72,14
13,2,512,322,38,65,15
13,3,512,312,33,63,11
13,4,512,342,42,58,20
13,5,512,313,35,65,16
13,6,512,282,35,60,14
13,7,512,292,33,63,11
13,8,512,331,32,59,15
13,9,512,315,35,45,20
13,10,512,352,31,64,24
13,11,512,352,24,63,19
13,12,512,309,23,48,14
13,13,512,320,28,62,15
13,14,512,328,30,69,19
13,15,476,287,37,59,17
14,0,512,317,33,62,15
14,1,512,342,26,71,14
14,2,512,301,23,62,18
14,3,512,322,25,54,20
14,4,512,314,25,49,23
14,5,512,310,26,51,21
14,6,512,318,29,55,19
14,7,512,310,39,50,20
14,8,512,334,35,50,19
14,9,512,361,33,51,18
14,10,512,346,30,57,20
14,11,512,355,34,49,17
14,12,512,350,35,54,17
14,13,512,350,30,52,23
14,14,512,309,25,48,23
14,15,476,315,28,53,24
15,0,512,341,43,46,21
15,1,512,355,36,50,21
15,2,512,340,31,53,15
15,3,512,350,31,50,15
15,4,512,350,28,52,14
15,5,512,334,23,48,17
15,6,512,326,31,49,21
15,7,512,333,32,45,15
15,8,512,339,29,57,24
15,9,512,346,24,67,21
15,10,512,377,26,75,21
15,11,512,344,27,71,19
15,12,512,355,25,61,17
15,13,512,351,29,60,20
15,14,512,328,28,66,16
15,15,476,331,22,58,15
16,0,512,353,19,50,20
16,1,512,330,21,47,20
16,2,512,335,26,48,18
16,3,512,330,27,50,16
16,4,512,348,33,59,17
16,5,512,358,29,60,19
16,6,512,335,26,64,14
16,7,512,365,23,48,18
16,8,512,346,16,57,20
16,9,512,344,19,56,20
16,10,512,345,23,40,16
16,11,512,336,33,38,14
16,12,512,345,29,34,14
16,13,512,373,31,43,14
16,14,512,348,25,38,13
16,15,476,328,31,50,18
17,0,512,361,28,52,18
17,1,512,341,29,46,14
17,2,512,343,30,43,13
17,3,512,333,31,48,22
17,4,512,360,25,41,21
17,5,512,350,30,44,17
17,6,512,353,31,50,14
17,7,512,364,22,52,14
17,8,512,362,26,39,18
17,9,512,356,34,37,18
17,10,512,339,36,40,20
17,11,512,360,26,46,12
17,12,512,361,25,42,11
17,13,512,364,36,56,9
17,14,512,363,35,46,13
17,15,476,332,36,46,11
18,0,512,353,41,39,16
18,1,512,361,45,37,19
18,2,512,370,37,43,15
18,3,512,366,40,44,10
18,4,512,352,44,51,10
18,5,512,376,30,49,7
18,6,512,375,30,49,5
18,7,512,361,23,47,9
18,8,512,358,33,41,10
18,9,512,366,33,42,8
18,10,512,356,28,51,15
18,11,512,361,42,48,17
18,12,512,364,39,35,15
