Epoch,Batch,Num trials,Number correct
0,0,512,21
0,1,512,33
0,2,512,22
0,3,512,30
0,4,512,46
0,5,512,36
0,6,512,34
0,7,512,34
0,8,512,41
0,9,512,42
0,10,512,65
0,11,512,47
0,12,512,59
0,13,512,49
0,14,512,51
0,15,476,48
1,0,512,66
1,1,512,80
1,2,512,67
1,3,512,73
1,4,512,81
1,5,512,80
1,6,512,68
1,7,512,74
1,8,512,79
1,9,512,88
1,10,512,79
1,11,512,79
1,12,512,76
1,13,512,78
1,14,512,73
1,15,476,75
2,0,512,100
2,1,512,95
2,2,512,95
2,3,512,99
2,4,512,101
2,5,512,119
2,6,512,123
2,7,512,112
2,8,512,104
2,9,512,109
2,10,512,111
2,11,512,102
2,12,512,114
2,13,512,95
2,14,512,124
2,15,476,124
3,0,512,123
3,1,512,146
3,2,512,138
3,3,512,138
3,4,512,129
3,5,512,153
3,6,512,162
3,7,512,132
3,8,512,153
3,9,512,167
3,10,512,170
3,11,512,146
3,12,512,150
3,13,512,161
3,14,512,156
3,15,476,152
4,0,512,153
4,1,512,180
4,2,512,171
4,3,512,167
4,4,512,176
4,5,512,190
4,6,512,175
4,7,512,171
4,8,512,183
4,9,512,171
4,10,512,176
4,11,512,194
4,12,512,198
4,13,512,188
4,14,512,203
4,15,476,187
5,0,512,201
5,1,512,186
5,2,512,205
5,3,512,206
5,4,512,211
5,5,512,199
5,6,512,196
5,7,512,179
5,8,512,206
5,9,512,204
5,10,512,230
5,11,512,198
5,12,512,223
5,13,512,215
5,14,512,210
5,15,476,211
6,0,512,236
6,1,512,226
6,2,512,207
6,3,512,215
6,4,512,233
6,5,512,220
6,6,512,233
6,7,512,251
6,8,512,229
6,9,512,236
6,10,512,221
6,11,512,234
6,12,512,247
6,13,512,227
6,14,512,239
6,15,476,236
7,0,512,270
7,1,512,273
7,2,512,256
7,3,512,251
7,4,512,254
7,5,512,235
7,6,512,230
7,7,512,243
7,8,512,230
7,9,512,244
7,10,512,259
7,11,512,239
7,12,512,236
7,13,512,252
7,14,512,255
7,15,476,247
8,0,512,277
8,1,512,274
8,2,512,271
8,3,512,310
8,4,512,274
8,5,512,264
8,6,512,251
8,7,512,272
8,8,512,264
8,9,512,243
8,10,512,272
8,11,512,255
8,12,512,252
8,13,512,250
8,14,512,262
8,15,476,265
9,0,512,305
9,1,512,298
9,2,512,285
9,3,512,285
9,4,512,273
9,5,512,261
9,6,512,270
9,7,512,270
9,8,512,303
9,9,512,259
9,10,512,293
9,11,512,272
9,12,512,272
9,13,512,261
9,14,512,278
9,15,476,263
10,0,512,268
10,1,512,290
10,2,512,290
10,3,512,312
10,4,512,284
10,5,512,313
10,6,512,295
10,7,512,290
10,8,512,302
10,9,512,302
10,10,512,274
10,11,512,288
10,12,512,279
10,13,512,304
10,14,512,295
10,15,476,272
11,0,512,317
11,1,512,289
11,2,512,306
11,3,512,322
11,4,512,316
11,5,512,303
11,6,512,321
11,7,512,292
11,8,512,300
11,9,512,285
11,10,512,283
11,11,512,278
11,12,512,306
11,13,512,302
11,14,512,308
11,15,476,267
12,0,512,294
12,1,512,314
12,2,512,300
12,3,512,318
12,4,512,292
12,5,512,293
12,6,512,290
12,7,512,278
12,8,512,295
12,9,512,309
12,10,512,299
12,11,512,314
12,12,512,315
12,13,512,306
12,14,512,320
12,15,476,302
13,0,512,332
13,1,512,310
13,2,512,308
13,3,512,304
13,4,512,348
13,5,512,338
13,6,512,300
13,7,512,333
13,8,512,320
13,9,512,323
13,10,512,328
13,11,512,318
13,12,512,329
13,13,512,298
13,14,512,282
13,15,476,280
14,0,512,303
14,1,512,305
14,2,512,324
14,3,512,325
14,4,512,337
14,5,512,325
14,6,512,331
14,7,512,334
14,8,512,331
14,9,512,339
14,10,512,317
14,11,512,332
14,12,512,355
14,13,512,337
14,14,512,336
14,15,476,282
15,0,512,318
15,1,512,341
15,2,512,339
15,3,512,321
15,4,512,309
15,5,512,321
15,6,512,328
15,7,512,341
15,8,512,324
15,9,512,332
15,10,512,342
15,11,512,325
15,12,512,326
15,13,512,314
15,14,512,322
15,15,476,324
16,0,512,353
16,1,512,345
16,2,512,336
16,3,512,337
16,4,512,322
16,5,512,341
16,6,512,321
16,7,512,331
16,8,512,330
16,9,512,351
16,10,512,341
16,11,512,361
16,12,512,335
16,13,512,336
16,14,512,322
16,15,476,312
17,0,512,339
17,1,512,344
17,2,512,364
17,3,512,329
17,4,512,339
17,5,512,339
17,6,512,353
17,7,512,355
17,8,512,337
17,9,512,346
17,10,512,363
17,11,512,344
17,12,512,351
17,13,512,331
17,14,512,351
17,15,476,318
18,0,512,334
18,1,512,362
18,2,512,358
18,3,512,349
18,4,512,329
18,5,512,339
18,6,512,362
18,7,512,361
18,8,512,358
18,9,512,329
18,10,512,333
18,11,512,350
18,12,512,341
18,13,512,359
18,14,512,334
18,15,476,339
19,0,512,338
19,1,512,339
19,2,512,348
19,3,512,358
19,4,512,374
19,5,512,354
19,6,512,358
19,7,512,358
19,8,512,368
19,9,512,339
19,10,512,353
19,11,512,353
19,12,512,363
19,13,512,357
19,14,512,362
19,15,476,340
20,0,512,348
20,1,512,361
20,2,512,378
20,3,512,380
20,4,512,353
20,5,512,365
20,6,512,326
20,7,512,360
20,8,512,348
20,9,512,348
20,10,512,360
20,11,512,342
20,12,512,373
20,13,512,365
20,14,512,377
20,15,476,351
21,0,512,355
21,1,512,361
21,2,512,352
21,3,512,353
21,4,512,364
21,5,512,382
21,6,512,376
21,7,512,362
21,8,512,377
21,9,512,379
21,10,512,379
21,11,512,373
21,12,512,387
21,13,512,357
21,14,512,373
21,15,476,339
22,0,512,360
22,1,512,363
22,2,512,346
22,3,512,353
22,4,512,357
22,5,512,373
22,6,512,380
22,7,512,390
22,8,512,360
22,9,512,377
22,10,512,367
22,11,512,374
22,12,512,367
22,13,512,350
22,14,512,361
22,15,476,356
23,0,512,360
23,1,512,376
23,2,512,371
23,3,512,345
23,4,512,374
23,5,512,360
23,6,512,354
23,7,512,353
23,8,512,357
23,9,512,361
23,10,512,374
23,11,512,368
23,12,512,364
23,13,512,371
23,14,512,369
23,15,476,331
24,0,512,363
24,1,512,363
24,2,512,373
24,3,512,349
24,4,512,367
24,5,512,337
24,6,512,372
24,7,512,377
24,8,512,363
24,9,512,367
24,10,512,376
24,11,512,382
24,12,512,384
24,13,512,375
24,14,512,376
24,15,476,355
25,0,512,384
25,1,512,394
25,2,512,363
25,3,512,393
25,4,512,390
25,5,512,380
25,6,512,370
25,7,512,386
25,8,512,377
25,9,512,390
25,10,512,376
25,11,512,381
25,12,512,379
25,13,512,385
25,14,512,371
25,15,476,359
26,0,512,385
26,1,512,389
26,2,512,409
26,3,512,376
26,4,512,380
26,5,512,386
26,6,512,390
26,7,512,388
26,8,512,405
26,9,512,403
26,10,512,376
26,11,512,377
26,12,512,371
26,13,512,358
26,14,512,386
26,15,476,370
27,0,512,384
27,1,512,405
27,2,512,394
27,3,512,375
27,4,512,383
27,5,512,374
27,6,512,397
27,7,512,363
27,8,512,389
27,9,512,376
27,10,512,378
27,11,512,367
27,12,512,380
27,13,512,379
27,14,512,387
27,15,476,367
28,0,512,402
28,1,512,385
28,2,512,405
28,3,512,389
28,4,512,414
28,5,512,386
28,6,512,386
28,7,512,377
28,8,512,365
28,9,512,386
28,10,512,384
28,11,512,386
28,12,512,408
28,13,512,393
28,14,512,384
28,15,476,366
29,0,512,395
29,1,512,387
29,2,512,408
29,3,512,395
29,4,512,387
29,5,512,392
29,6,512,408
29,7,512,390
29,8,512,401
29,9,512,410
29,10,512,406
29,11,512,411
29,12,512,399
29,13,512,391
29,14,512,406
29,15,476,390
30,0,512,409
30,1,512,393
30,2,512,397
30,3,512,400
30,4,512,397
30,5,512,405
30,6,512,408
30,7,512,411
30,8,512,406
30,9,512,388
30,10,512,402
30,11,512,397
30,12,512,378
30,13,512,386
30,14,512,397
30,15,476,368
31,0,512,399
31,1,512,408
31,2,512,371
31,3,512,394
31,4,512,384
31,5,512,383
31,6,512,405
31,7,512,405
31,8,512,404
31,9,512,408
31,10,512,410
31,11,512,406
31,12,512,399
31,13,512,404
31,14,512,389
31,15,476,355
32,0,512,391
32,1,512,416
32,2,512,379
32,3,512,390
32,4,512,392
32,5,512,395
32,6,512,420
32,7,512,407
32,8,512,408
32,9,512,415
